transaction_id,timestamp,account_id,transaction_type,channel,typical_daily_transactions,amount,counterparty_id,status
TXN_0020014,2026-09-04 15:07:01,NDM_000003,MERCHANT_PAYMENT,USSD,4,424.94,CP_005763,COMPLETED
TXN_0076792,2026-09-05 02:39:21,NDM_000003,P2P_TRANSFER,USSD,4,532.91,CP_008472,COMPLETED
TXN_0069613,2026-09-06 23:21:37,NDM_000003,BILL_PAYMENT,USSD,4,305.25,CP_007505,FAILED
TXN_0060554,2026-09-13 18:16:00,NDM_000003,MERCHANT_PAYMENT,Web,4,241.78,CP_003164,COMPLETED
TXN_0020465,2026-09-14 00:11:33,NDM_000003,MERCHANT_PAYMENT,USSD,4,1176.37,CP_004008,COMPLETED
TXN_0080496,2026-09-15 09:31:49,NDM_000003,MERCHANT_PAYMENT,Web,4,448.23,CP_003998,COMPLETED
TXN_0013846,2026-09-15 16:08:51,NDM_000003,AIRTIME_PURCHASE,Web,4,488.49,CP_008879,COMPLETED
TXN_0077681,2026-09-15 18:56:45,NDM_000003,AIRTIME_PURCHASE,USSD,4,231.76,CP_002473,COMPLETED
TXN_0072133,2026-09-16 17:39:07,NDM_000003,P2P_TRANSFER,Web,4,196.96,CP_001857,COMPLETED
TXN_0085879,2026-09-17 03:58:44,NDM_000003,MERCHANT_PAYMENT,USSD,4,528.69,CP_000852,COMPLETED
TXN_0023444,2026-09-17 06:43:13,NDM_000003,P2P_TRANSFER,USSD,4,2046.59,CP_007999,COMPLETED
TXN_0045374,2026-09-18 11:23:45,NDM_000003,CASH_OUT,Web,4,788.14,CP_004883,COMPLETED
TXN_0042266,2026-09-18 12:30:09,NDM_000003,CASH_OUT,USSD,4,910.44,CP_007354,COMPLETED
TXN_0065942,2026-09-20 23:47:22,NDM_000003,BILL_PAYMENT,Mobile_App,4,1162.62,CP_000728,COMPLETED
TXN_0072004,2026-09-21 03:31:41,NDM_000003,AIRTIME_PURCHASE,USSD,4,636.62,CP_007188,COMPLETED
TXN_0037468,2026-09-22 07:58:17,NDM_000003,P2P_TRANSFER,USSD,4,315.97,CP_007705,COMPLETED
TXN_0027678,2026-09-23 12:29:42,NDM_000003,MERCHANT_PAYMENT,USSD,4,448.43,CP_000387,COMPLETED
TXN_0063253,2026-09-23 21:52:56,NDM_000003,MERCHANT_PAYMENT,Web,4,512.98,CP_003655,REVERSED
TXN_0081038,2026-09-29 21:03:53,NDM_000003,MERCHANT_PAYMENT,Web,4,1322.98,CP_005202,COMPLETED
TXN_0077830,2026-09-02 10:13:36,NDM_000004,P2P_TRANSFER,Web,3,673.58,CP_009051,COMPLETED
TXN_0072527,2026-09-03 06:19:44,NDM_000004,BANK_TRANSFER,Web,3,451.93,CP_002759,COMPLETED
TXN_0084097,2026-09-04 08:51:35,NDM_000004,P2P_TRANSFER,USSD,3,258.99,CP_008187,COMPLETED
TXN_0017451,2026-09-05 10:00:58,NDM_000004,CASH_OUT,Web,3,708.86,CP_004353,COMPLETED
TXN_0076158,2026-09-05 23:41:41,NDM_000004,BANK_TRANSFER,Web,3,889.0,CP_007613,COMPLETED
TXN_0028764,2026-09-08 16:20:04,NDM_000004,P2P_TRANSFER,Mobile_App,3,612.37,CP_003706,COMPLETED
TXN_0099146,2026-09-12 16:50:57,NDM_000004,MERCHANT_PAYMENT,USSD,3,190.84,CP_004043,COMPLETED
TXN_0031926,2026-09-12 17:41:16,NDM_000004,P2P_TRANSFER,USSD,3,692.11,CP_002233,COMPLETED
TXN_0036073,2026-09-14 04:07:16,NDM_000004,BANK_TRANSFER,USSD,3,604.94,CP_007377,COMPLETED
TXN_0073042,2026-09-14 20:43:11,NDM_000004,P2P_TRANSFER,USSD,3,663.84,CP_001026,COMPLETED
TXN_0071705,2026-09-14 22:06:38,NDM_000004,MERCHANT_PAYMENT,USSD,3,355.26,CP_009115,COMPLETED
TXN_0088037,2026-09-15 18:35:22,NDM_000004,BILL_PAYMENT,Web,3,651.23,CP_009606,COMPLETED
TXN_0090298,2026-09-16 04:15:47,NDM_000004,BILL_PAYMENT,Mobile_App,3,388.01,CP_009268,COMPLETED
TXN_0028003,2026-09-18 04:54:51,NDM_000004,BANK_TRANSFER,Web,3,612.53,CP_003203,COMPLETED
TXN_0027774,2026-09-18 17:31:38,NDM_000004,MERCHANT_PAYMENT,Web,3,549.09,CP_008361,COMPLETED
TXN_0089599,2026-09-19 14:59:56,NDM_000004,CASH_OUT,USSD,3,363.7,CP_001316,COMPLETED
TXN_0051372,2026-09-19 15:53:18,NDM_000004,BILL_PAYMENT,USSD,3,311.95,CP_007675,COMPLETED
TXN_0066860,2026-09-19 18:21:47,NDM_000004,P2P_TRANSFER,USSD,3,746.54,CP_006608,COMPLETED
TXN_0091501,2026-09-21 20:24:43,NDM_000004,P2P_TRANSFER,USSD,3,1172.47,CP_002777,COMPLETED
TXN_0082845,2026-09-22 06:50:31,NDM_000004,CASH_OUT,USSD,3,1648.81,CP_005001,COMPLETED
TXN_0009849,2026-09-28 18:49:51,NDM_000004,P2P_TRANSFER,USSD,3,1673.07,CP_007898,COMPLETED
TXN_0033441,2026-09-30 07:53:14,NDM_000004,MERCHANT_PAYMENT,USSD,3,1658.12,CP_005981,COMPLETED
TXN_0044158,2026-09-02 07:20:34,NDM_000005,MERCHANT_PAYMENT,Web,1,362.34,CP_003282,COMPLETED
TXN_0002486,2026-09-04 09:55:40,NDM_000005,MERCHANT_PAYMENT,USSD,1,1659.07,CP_001982,COMPLETED
TXN_0092117,2026-09-05 05:29:41,NDM_000005,MERCHANT_PAYMENT,USSD,1,171.82,CP_000317,COMPLETED
TXN_0042260,2026-09-06 00:10:51,NDM_000005,P2P_TRANSFER,USSD,1,221.98,CP_005230,COMPLETED
TXN_0001801,2026-09-06 04:34:50,NDM_000005,AIRTIME_PURCHASE,USSD,1,61.36,CP_001605,COMPLETED
TXN_0037414,2026-09-08 03:33:38,NDM_000005,MERCHANT_PAYMENT,Web,1,319.94,CP_001167,COMPLETED
TXN_0030307,2026-09-13 19:21:02,NDM_000005,MERCHANT_PAYMENT,USSD,1,349.52,CP_009336,COMPLETED
TXN_0079815,2026-09-17 12:31:04,NDM_000005,BILL_PAYMENT,USSD,1,391.39,CP_002675,COMPLETED
TXN_0044687,2026-09-17 16:49:27,NDM_000005,BANK_TRANSFER,Mobile_App,1,545.25,CP_007455,COMPLETED
TXN_0029774,2026-09-18 11:15:03,NDM_000005,BILL_PAYMENT,USSD,1,812.25,CP_002900,COMPLETED
TXN_0013302,2026-09-18 16:11:08,NDM_000005,P2P_TRANSFER,USSD,1,411.81,CP_008678,COMPLETED
TXN_0032544,2026-09-18 16:20:52,NDM_000005,MERCHANT_PAYMENT,USSD,1,449.23,CP_005258,COMPLETED
TXN_0007245,2026-09-19 17:42:15,NDM_000005,P2P_TRANSFER,USSD,1,259.41,CP_003084,COMPLETED
TXN_0031808,2026-09-19 18:35:39,NDM_000005,BANK_TRANSFER,USSD,1,231.89,CP_005454,COMPLETED
TXN_0060938,2026-09-20 05:20:01,NDM_000005,MERCHANT_PAYMENT,USSD,1,119.65,CP_006569,COMPLETED
TXN_0060587,2026-09-22 02:05:23,NDM_000005,AIRTIME_PURCHASE,USSD,1,232.84,CP_007443,COMPLETED
TXN_0061570,2026-09-27 07:02:40,NDM_000005,P2P_TRANSFER,Mobile_App,1,236.44,CP_000622,COMPLETED
TXN_0078542,2026-09-28 14:03:25,NDM_000005,MERCHANT_PAYMENT,USSD,1,271.17,CP_005292,COMPLETED
TXN_0026920,2026-09-07 17:58:32,NDM_000006,MERCHANT_PAYMENT,USSD,7,219.86,CP_003881,COMPLETED
TXN_0019265,2026-09-08 01:10:17,NDM_000006,CASH_OUT,USSD,7,565.12,CP_007678,COMPLETED
TXN_0093872,2026-09-13 00:36:58,NDM_000006,MERCHANT_PAYMENT,USSD,7,154.97,CP_003199,COMPLETED
TXN_0015940,2026-09-14 03:16:27,NDM_000006,MERCHANT_PAYMENT,USSD,7,114.14,CP_008416,COMPLETED
TXN_0003631,2026-09-15 18:28:01,NDM_000006,BILL_PAYMENT,Web,7,77.3,CP_001759,COMPLETED
TXN_0022840,2026-09-17 08:21:13,NDM_000006,AIRTIME_PURCHASE,USSD,7,126.04,CP_001554,COMPLETED
TXN_0039946,2026-09-18 15:32:22,NDM_000006,MERCHANT_PAYMENT,USSD,7,449.85,CP_000465,COMPLETED
TXN_0092803,2026-09-19 08:27:52,NDM_000006,P2P_TRANSFER,USSD,7,136.42,CP_007842,COMPLETED
TXN_0091859,2026-09-19 11:52:32,NDM_000006,CASH_OUT,Web,7,216.92,CP_007080,COMPLETED
TXN_0055506,2026-09-20 11:03:48,NDM_000006,AIRTIME_PURCHASE,USSD,7,454.01,CP_006521,COMPLETED
TXN_0038278,2026-09-21 23:47:47,NDM_000006,BILL_PAYMENT,USSD,7,148.02,CP_000225,COMPLETED
TXN_0062917,2026-09-26 01:49:23,NDM_000006,AIRTIME_PURCHASE,Web,7,90.46,CP_005935,COMPLETED
TXN_0035838,2026-09-27 05:47:04,NDM_000006,BANK_TRANSFER,USSD,7,89.53,CP_003311,COMPLETED
TXN_0008004,2026-09-02 05:28:43,NDM_000007,MERCHANT_PAYMENT,USSD,2,676.84,CP_008323,COMPLETED
TXN_0093945,2026-09-07 03:34:39,NDM_000007,MERCHANT_PAYMENT,USSD,2,451.58,CP_003402,COMPLETED
TXN_0066957,2026-09-09 08:19:55,NDM_000007,MERCHANT_PAYMENT,Web,2,352.41,CP_007071,COMPLETED
TXN_0001249,2026-09-10 08:03:36,NDM_000007,CASH_OUT,Web,2,1024.48,CP_004869,COMPLETED
TXN_0021631,2026-09-13 09:37:33,NDM_000007,MERCHANT_PAYMENT,USSD,2,460.39,CP_005380,COMPLETED
TXN_0081692,2026-09-13 16:48:47,NDM_000007,P2P_TRANSFER,USSD,2,567.38,CP_006381,COMPLETED
TXN_0015874,2026-09-14 23:51:11,NDM_000007,MERCHANT_PAYMENT,USSD,2,628.57,CP_009311,COMPLETED
TXN_0002546,2026-09-15 16:53:11,NDM_000007,BILL_PAYMENT,USSD,2,73.64,CP_005598,COMPLETED
TXN_0064888,2026-09-15 18:58:43,NDM_000007,MERCHANT_PAYMENT,Web,2,496.33,CP_005555,COMPLETED
TXN_0013274,2026-09-18 13:44:30,NDM_000007,MERCHANT_PAYMENT,Web,2,197.53,CP_000569,COMPLETED
TXN_0094983,2026-09-19 13:56:32,NDM_000007,BILL_PAYMENT,USSD,2,177.24,CP_004954,COMPLETED
TXN_0028946,2026-09-22 07:56:17,NDM_000007,AIRTIME_PURCHASE,Mobile_App,2,380.47,CP_002945,COMPLETED
TXN_0045830,2026-09-22 20:39:49,NDM_000007,P2P_TRANSFER,USSD,2,576.37,CP_005964,COMPLETED
TXN_0028252,2026-09-24 05:06:48,NDM_000007,MERCHANT_PAYMENT,Mobile_App,2,495.72,CP_005597,COMPLETED
TXN_0067972,2026-09-25 02:11:08,NDM_000007,MERCHANT_PAYMENT,Mobile_App,2,543.52,CP_007270,COMPLETED
TXN_0009227,2026-09-26 08:43:01,NDM_000007,P2P_TRANSFER,Web,2,414.79,CP_008136,COMPLETED
TXN_0051790,2026-09-29 03:33:06,NDM_000007,MERCHANT_PAYMENT,USSD,2,140.41,CP_004661,COMPLETED
TXN_0035983,2026-09-29 11:52:59,NDM_000007,MERCHANT_PAYMENT,Web,2,1196.95,CP_006985,COMPLETED
TXN_0073946,2026-09-01 00:23:08,NDM_000008,BILL_PAYMENT,USSD,4,312.31,CP_007080,COMPLETED
TXN_0027945,2026-09-01 09:55:09,NDM_000008,AIRTIME_PURCHASE,USSD,4,135.91,CP_003592,COMPLETED
TXN_0015261,2026-09-02 03:33:50,NDM_000008,CASH_OUT,Web,4,224.71,CP_005111,COMPLETED
TXN_0079375,2026-09-02 05:53:47,NDM_000008,P2P_TRANSFER,Web,4,66.1,CP_007806,FAILED
TXN_0008196,2026-09-02 18:01:02,NDM_000008,MERCHANT_PAYMENT,USSD,4,313.34,CP_007422,COMPLETED
TXN_0023560,2026-09-04 23:32:39,NDM_000008,MERCHANT_PAYMENT,USSD,4,293.29,CP_009401,COMPLETED
TXN_0055970,2026-09-08 21:33:13,NDM_000008,BILL_PAYMENT,USSD,4,109.31,CP_009448,COMPLETED
TXN_0078050,2026-09-09 04:20:22,NDM_000008,MERCHANT_PAYMENT,Mobile_App,4,536.44,CP_000047,COMPLETED
TXN_0058147,2026-09-09 10:15:20,NDM_000008,P2P_TRANSFER,USSD,4,299.64,CP_007375,COMPLETED
TXN_0047044,2026-09-10 15:27:06,NDM_000008,MERCHANT_PAYMENT,Web,4,193.08,CP_005119,COMPLETED
TXN_0024975,2026-09-11 09:23:32,NDM_000008,MERCHANT_PAYMENT,USSD,4,595.96,CP_002059,COMPLETED
TXN_0021270,2026-09-14 15:48:11,NDM_000008,AIRTIME_PURCHASE,USSD,4,145.36,CP_001669,COMPLETED
TXN_0092690,2026-09-14 16:07:05,NDM_000008,CASH_OUT,Web,4,330.56,CP_003777,COMPLETED
TXN_0028189,2026-09-15 15:20:52,NDM_000008,MERCHANT_PAYMENT,Mobile_App,4,320.29,CP_009423,COMPLETED
TXN_0058526,2026-09-16 11:56:56,NDM_000008,MERCHANT_PAYMENT,Mobile_App,4,135.12,CP_009614,COMPLETED
TXN_0077442,2026-09-18 16:59:25,NDM_000008,P2P_TRANSFER,USSD,4,132.83,CP_005338,COMPLETED
TXN_0018060,2026-09-19 16:52:07,NDM_000008,P2P_TRANSFER,Web,4,242.89,CP_002957,COMPLETED
TXN_0029471,2026-09-22 23:51:44,NDM_000008,BILL_PAYMENT,USSD,4,83.86,CP_004413,COMPLETED
TXN_0057146,2026-09-23 21:02:09,NDM_000008,AIRTIME_PURCHASE,USSD,4,184.83,CP_008954,COMPLETED
TXN_0022702,2026-09-24 03:56:45,NDM_000008,CASH_OUT,USSD,4,299.38,CP_003941,COMPLETED
TXN_0022658,2026-09-24 20:01:14,NDM_000008,MERCHANT_PAYMENT,USSD,4,85.68,CP_007767,COMPLETED
TXN_0031830,2026-09-25 12:26:00,NDM_000008,P2P_TRANSFER,USSD,4,392.91,CP_009194,COMPLETED
TXN_0051667,2026-09-26 11:51:20,NDM_000008,MERCHANT_PAYMENT,Web,4,577.4,CP_005615,COMPLETED
TXN_0034071,2026-09-27 21:51:47,NDM_000008,AIRTIME_PURCHASE,USSD,4,238.63,CP_004290,COMPLETED
TXN_0064350,2026-09-01 22:35:04,NDM_000009,P2P_TRANSFER,USSD,3,1322.69,CP_009881,COMPLETED
TXN_0069271,2026-09-03 02:13:07,NDM_000009,AIRTIME_PURCHASE,Web,3,468.18,CP_006954,COMPLETED
TXN_0009049,2026-09-03 23:52:04,NDM_000009,P2P_TRANSFER,USSD,3,2500.14,CP_008718,COMPLETED
TXN_0083312,2026-09-04 17:44:38,NDM_000009,P2P_TRANSFER,USSD,3,251.6,CP_001755,COMPLETED
TXN_0056348,2026-09-07 15:54:51,NDM_000009,P2P_TRANSFER,USSD,3,1095.57,CP_007838,COMPLETED
TXN_0099827,2026-09-09 23:51:06,NDM_000009,MERCHANT_PAYMENT,Mobile_App,3,852.54,CP_008997,COMPLETED
TXN_0096434,2026-09-11 04:16:33,NDM_000009,MERCHANT_PAYMENT,USSD,3,1631.45,CP_004253,COMPLETED
TXN_0064742,2026-09-13 16:27:28,NDM_000009,BILL_PAYMENT,Web,3,3097.94,CP_003305,COMPLETED
TXN_0024021,2026-09-14 15:09:37,NDM_000009,CASH_OUT,USSD,3,796.57,CP_008964,COMPLETED
TXN_0048350,2026-09-14 21:02:42,NDM_000009,MERCHANT_PAYMENT,Web,3,387.88,CP_003951,COMPLETED
TXN_0090721,2026-09-16 10:02:05,NDM_000009,MERCHANT_PAYMENT,Web,3,816.64,CP_000631,COMPLETED
TXN_0041326,2026-09-17 00:40:13,NDM_000009,P2P_TRANSFER,USSD,3,553.57,CP_000606,REVERSED
TXN_0034320,2026-09-17 05:14:25,NDM_000009,P2P_TRANSFER,USSD,3,1720.82,CP_009879,FAILED
TXN_0081664,2026-09-17 20:46:03,NDM_000009,P2P_TRANSFER,USSD,3,301.93,CP_004659,COMPLETED
TXN_0039736,2026-09-17 22:46:04,NDM_000009,P2P_TRANSFER,Web,3,1488.15,CP_003175,COMPLETED
TXN_0099629,2026-09-22 14:56:08,NDM_000009,MERCHANT_PAYMENT,USSD,3,1910.02,CP_003384,COMPLETED
TXN_0005189,2026-09-24 16:36:40,NDM_000009,BILL_PAYMENT,Mobile_App,3,432.02,CP_008792,COMPLETED
TXN_0025277,2026-09-27 01:13:31,NDM_000009,MERCHANT_PAYMENT,USSD,3,360.81,CP_009399,COMPLETED
TXN_0033410,2026-09-27 16:25:55,NDM_000009,CASH_OUT,Web,3,685.98,CP_000781,COMPLETED
TXN_0023900,2026-09-29 20:05:51,NDM_000009,AIRTIME_PURCHASE,Web,3,1083.99,CP_003235,COMPLETED
TXN_0016258,2026-09-03 14:22:11,NDM_000010,P2P_TRANSFER,Mobile_App,3,54.14,CP_003379,COMPLETED
TXN_0009728,2026-09-04 15:26:51,NDM_000010,MERCHANT_PAYMENT,USSD,3,93.58,CP_001224,COMPLETED
TXN_0058878,2026-09-04 19:38:44,NDM_000010,MERCHANT_PAYMENT,USSD,3,55.02,CP_004233,COMPLETED
TXN_0066457,2026-09-05 10:51:16,NDM_000010,MERCHANT_PAYMENT,USSD,3,44.25,CP_005051,COMPLETED
TXN_0023066,2026-09-05 13:48:30,NDM_000010,MERCHANT_PAYMENT,Web,3,252.41,CP_001730,FAILED
TXN_0023047,2026-09-09 02:44:37,NDM_000010,MERCHANT_PAYMENT,USSD,3,222.17,CP_007287,COMPLETED
TXN_0002115,2026-09-10 06:55:13,NDM_000010,MERCHANT_PAYMENT,USSD,3,83.78,CP_006697,COMPLETED
TXN_0086161,2026-09-10 09:12:11,NDM_000010,CASH_OUT,USSD,3,60.29,CP_007582,COMPLETED
TXN_0040557,2026-09-12 01:42:49,NDM_000010,BILL_PAYMENT,USSD,3,162.25,CP_008001,COMPLETED
TXN_0023926,2026-09-17 04:11:17,NDM_000010,MERCHANT_PAYMENT,USSD,3,57.17,CP_009652,COMPLETED
TXN_0035349,2026-09-18 04:57:41,NDM_000010,BILL_PAYMENT,Web,3,50.96,CP_005857,COMPLETED
TXN_0008224,2026-09-19 02:56:02,NDM_000010,P2P_TRANSFER,USSD,3,636.63,CP_005838,COMPLETED
TXN_0045609,2026-09-19 04:03:47,NDM_000010,BILL_PAYMENT,USSD,3,221.8,CP_006410,COMPLETED
TXN_0086464,2026-09-26 00:48:51,NDM_000010,MERCHANT_PAYMENT,USSD,3,74.43,CP_009065,COMPLETED
TXN_0008074,2026-09-26 05:32:42,NDM_000010,P2P_TRANSFER,Web,3,71.96,CP_000693,COMPLETED
TXN_0041522,2026-09-27 02:52:29,NDM_000010,P2P_TRANSFER,USSD,3,259.2,CP_005010,COMPLETED
TXN_0012999,2026-09-27 05:54:45,NDM_000010,BILL_PAYMENT,USSD,3,59.58,CP_000179,COMPLETED
TXN_0077389,2026-09-30 18:16:59,NDM_000010,AIRTIME_PURCHASE,USSD,3,519.59,CP_007755,COMPLETED
TXN_0000301,2026-09-06 00:42:20,NDM_000011,BILL_PAYMENT,USSD,4,1317.55,CP_007410,COMPLETED
TXN_0026841,2026-09-07 17:32:50,NDM_000011,MERCHANT_PAYMENT,Web,4,333.49,CP_003415,COMPLETED
TXN_0036522,2026-09-09 18:04:24,NDM_000011,AIRTIME_PURCHASE,Mobile_App,4,348.66,CP_008219,COMPLETED
TXN_0010482,2026-09-12 02:32:26,NDM_000011,BILL_PAYMENT,USSD,4,470.33,CP_006410,COMPLETED
TXN_0073443,2026-09-12 13:33:38,NDM_000011,MERCHANT_PAYMENT,USSD,4,714.88,CP_003010,COMPLETED
TXN_0030575,2026-09-12 17:17:19,NDM_000011,CASH_OUT,USSD,4,1249.22,CP_007585,COMPLETED
TXN_0007157,2026-09-13 08:32:20,NDM_000011,P2P_TRANSFER,USSD,4,700.55,CP_001706,COMPLETED
TXN_0047818,2026-09-24 01:24:40,NDM_000011,CASH_OUT,Mobile_App,4,1355.81,CP_006487,COMPLETED
TXN_0075888,2026-09-24 23:24:08,NDM_000011,P2P_TRANSFER,USSD,4,1392.82,CP_001260,COMPLETED
TXN_0097503,2026-09-25 15:11:08,NDM_000011,CASH_OUT,Mobile_App,4,713.15,CP_006543,COMPLETED
TXN_0094911,2026-09-25 15:51:14,NDM_000011,P2P_TRANSFER,USSD,4,674.46,CP_003740,COMPLETED
TXN_0018452,2026-09-28 10:27:00,NDM_000011,CASH_OUT,USSD,4,328.37,CP_001445,COMPLETED
TXN_0047474,2026-09-29 07:44:04,NDM_000011,MERCHANT_PAYMENT,Mobile_App,4,519.84,CP_009525,COMPLETED
TXN_0057416,2026-09-29 13:09:36,NDM_000011,AIRTIME_PURCHASE,Mobile_App,4,394.21,CP_004832,COMPLETED
TXN_0017656,2026-09-02 02:58:28,NDM_000012,P2P_TRANSFER,USSD,7,622.59,CP_007017,COMPLETED
TXN_0085266,2026-09-03 19:23:45,NDM_000012,MERCHANT_PAYMENT,USSD,7,494.99,CP_004954,COMPLETED
TXN_0080643,2026-09-07 09:22:07,NDM_000012,AIRTIME_PURCHASE,USSD,7,220.69,CP_007694,COMPLETED
TXN_0058819,2026-09-08 06:56:10,NDM_000012,BANK_TRANSFER,Mobile_App,7,898.22,CP_006960,COMPLETED
TXN_0037173,2026-09-08 11:14:15,NDM_000012,BANK_TRANSFER,USSD,7,439.47,CP_001787,COMPLETED
TXN_0067327,2026-09-09 18:13:15,NDM_000012,CASH_OUT,USSD,7,939.72,CP_002657,COMPLETED
TXN_0067788,2026-09-13 01:00:30,NDM_000012,AIRTIME_PURCHASE,Mobile_App,7,119.84,CP_007178,FAILED
TXN_0081350,2026-09-14 08:43:28,NDM_000012,MERCHANT_PAYMENT,USSD,7,172.46,CP_009430,COMPLETED
TXN_0012678,2026-09-15 11:54:09,NDM_000012,AIRTIME_PURCHASE,USSD,7,276.51,CP_001611,COMPLETED
TXN_0015003,2026-09-18 13:55:32,NDM_000012,CASH_OUT,Web,7,669.81,CP_000482,COMPLETED
TXN_0014917,2026-09-19 20:07:20,NDM_000012,AIRTIME_PURCHASE,USSD,7,429.79,CP_007206,COMPLETED
TXN_0020764,2026-09-20 22:38:10,NDM_000012,P2P_TRANSFER,Web,7,576.73,CP_007214,COMPLETED
TXN_0059927,2026-09-22 00:39:47,NDM_000012,MERCHANT_PAYMENT,Mobile_App,7,710.98,CP_004319,COMPLETED
TXN_0042967,2026-09-23 09:35:09,NDM_000012,BILL_PAYMENT,Mobile_App,7,212.92,CP_006176,COMPLETED
TXN_0064899,2026-09-24 00:44:58,NDM_000012,BILL_PAYMENT,USSD,7,381.28,CP_005255,COMPLETED
TXN_0076873,2026-09-24 03:10:51,NDM_000012,P2P_TRANSFER,USSD,7,254.55,CP_009814,COMPLETED
TXN_0096340,2026-09-25 08:42:57,NDM_000012,MERCHANT_PAYMENT,USSD,7,710.69,CP_000044,COMPLETED
TXN_0021943,2026-09-28 04:07:48,NDM_000012,BILL_PAYMENT,USSD,7,658.5,CP_007703,COMPLETED
TXN_0090272,2026-09-28 16:47:30,NDM_000012,BILL_PAYMENT,USSD,7,259.31,CP_000849,COMPLETED
TXN_0096839,2026-09-29 02:57:12,NDM_000012,MERCHANT_PAYMENT,USSD,7,343.29,CP_005294,COMPLETED
TXN_0033365,2026-09-30 20:04:34,NDM_000012,MERCHANT_PAYMENT,USSD,7,393.17,CP_001692,COMPLETED
TXN_0049588,2026-09-30 20:17:31,NDM_000012,BANK_TRANSFER,USSD,7,210.39,CP_007683,COMPLETED
