ticket_id,timestamp,account_id,text,priority
TICKET_000144,2026-09-24 06:39:59,NDM_000109,I am travelling and cannot access my normal device.,Medium
TICKET_001014,2026-09-06 07:38:02,NDM_000112,My account is locked after several login attempts.,Low
TICKET_000531,2026-09-24 13:59:02,NDM_000113,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_000269,2026-09-12 09:12:43,NDM_000119,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_000950,2026-09-05 10:48:32,NDM_000121,I am travelling and cannot access my normal device.,Low
TICKET_001115,2026-09-19 03:15:57,NDM_000127,My phone was lost and I need to secure my account.,Low
TICKET_001543,2026-09-26 18:57:24,NDM_000129,Please help me update my registered mobile number.,Low
TICKET_000303,2026-09-10 02:14:19,NDM_000133,There was a transaction on my account that I did not make.,Medium
TICKET_000750,2026-09-10 19:12:18,NDM_000133,I received an OTP that I did not request.,Medium
TICKET_001494,2026-09-12 04:10:56,NDM_000133,Please help me update my registered mobile number.,Low
TICKET_001110,2026-09-26 09:04:22,NDM_000133,I cannot access my account and my password no longer works.,Low
TICKET_001288,2026-09-03 01:31:23,NDM_000134,Please help me update my registered mobile number.,Medium
TICKET_001610,2026-09-11 15:42:00,NDM_000135,Please help me update my registered mobile number.,Low
TICKET_001051,2026-09-21 22:18:46,NDM_000137,My phone was lost and I need to secure my account.,Low
TICKET_000374,2026-09-09 05:17:43,NDM_000138,I cannot access my account and my password no longer works.,Low
TICKET_000147,2026-09-29 04:46:34,NDM_000138,Please help me update my registered mobile number.,Low
TICKET_001672,2026-09-28 03:27:39,NDM_000142,I cannot access my account and my password no longer works.,Medium
TICKET_000814,2026-09-15 23:14:00,NDM_000144,I cannot access my account and my password no longer works.,Low
TICKET_001079,2026-09-01 12:59:25,NDM_000145,My SIM card was replaced and I cannot log in.,Medium
TICKET_000726,2026-09-24 07:03:12,NDM_000146,I made this transaction myself but it is showing as pending.,Low
TICKET_000194,2026-09-21 00:42:47,NDM_000149,Please help me update my registered mobile number.,Low
TICKET_000765,2026-09-30 21:55:00,NDM_000150,I made this transaction myself but it is showing as pending.,Low
TICKET_001642,2026-09-16 08:03:08,NDM_000151,I am travelling and cannot access my normal device.,Low
TICKET_000291,2026-09-21 05:38:05,NDM_000151,I made this transaction myself but it is showing as pending.,Medium
TICKET_001710,2026-09-22 21:27:07,NDM_000151,My phone was lost and I need to secure my account.,High
TICKET_000205,2026-09-08 21:03:05,NDM_000154,I am travelling and cannot access my normal device.,Low
TICKET_000893,2026-09-03 08:37:42,NDM_000155,I changed my phone and need help accessing my account.,Low
TICKET_001068,2026-09-18 16:55:29,NDM_000156,I noticed a transfer that I do not recognise.,Low
TICKET_000242,2026-09-14 19:11:55,NDM_000158,I received an OTP that I did not request.,Low
TICKET_001023,2026-09-20 08:30:29,NDM_000161,I cannot access my account and my password no longer works.,Low
TICKET_000785,2026-09-04 12:58:04,NDM_000162,My phone was lost and I need to secure my account.,Low
TICKET_000793,2026-09-14 05:50:08,NDM_000162,My account is locked after several login attempts.,Low
TICKET_001614,2026-09-08 03:47:04,NDM_000170,I received an OTP that I did not request.,Low
TICKET_000131,2026-09-19 17:23:45,NDM_000174,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001032,2026-09-25 04:49:45,NDM_000175,I changed my phone and need help accessing my account.,High
TICKET_001831,2026-09-04 14:13:14,NDM_000176,There was a transaction on my account that I did not make.,Low
TICKET_001011,2026-09-11 16:58:28,NDM_000176,I noticed a transfer that I do not recognise.,Low
TICKET_001526,2026-09-04 08:13:11,NDM_000177,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001776,2026-09-25 16:57:58,NDM_000178,I made this transaction myself but it is showing as pending.,Low
TICKET_001739,2026-09-19 17:00:12,NDM_000182,There is no problem with my account; I need assistance with a payment.,Low
TICKET_000940,2026-09-23 19:27:09,NDM_000183,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001185,2026-09-24 06:42:19,NDM_000185,I changed my phone and need help accessing my account.,High
TICKET_001458,2026-09-18 23:03:20,NDM_000193,I received an OTP that I did not request.,Medium
TICKET_000314,2026-09-30 11:33:03,NDM_000198,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_000774,2026-09-04 15:13:39,NDM_000200,There is no problem with my account; I need assistance with a payment.,Low
TICKET_000730,2026-09-13 00:31:38,NDM_000202,I noticed a transfer that I do not recognise.,Medium
TICKET_000338,2026-09-30 08:24:22,NDM_000203,My account is locked after several login attempts.,Low
TICKET_000152,2026-09-04 06:59:37,NDM_000206,I am travelling and cannot access my normal device.,Low
TICKET_000779,2026-09-08 17:08:13,NDM_000206,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001765,2026-09-29 21:50:50,NDM_000211,I noticed a transfer that I do not recognise.,Medium
TICKET_001893,2026-09-01 05:21:15,NDM_000213,I am travelling and cannot access my normal device.,Low
TICKET_000013,2026-09-07 16:50:38,NDM_000214,I am travelling and cannot access my normal device.,Low
TICKET_001946,2026-09-20 23:46:56,NDM_000221,I changed my phone and need help accessing my account.,Low
TICKET_001374,2026-09-26 05:22:48,NDM_000224,My account is locked after several login attempts.,Low
TICKET_001728,2026-09-10 04:44:55,NDM_000230,I noticed a transfer that I do not recognise.,Medium
TICKET_001878,2026-09-08 13:39:30,NDM_000233,Please help me update my registered mobile number.,High
TICKET_001706,2026-09-13 22:48:47,NDM_000234,I changed my phone and need help accessing my account.,Medium
TICKET_001899,2026-09-10 06:08:00,NDM_000237,I made this transaction myself but it is showing as pending.,Low
TICKET_001030,2026-09-06 18:34:07,NDM_000239,There was a transaction on my account that I did not make.,Medium
TICKET_001897,2026-09-18 15:30:17,NDM_000240,There was a transaction on my account that I did not make.,Low
TICKET_001824,2026-09-05 14:49:02,NDM_000241,I cannot access my account and my password no longer works.,Low
TICKET_000426,2026-09-02 18:25:34,NDM_000242,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_000424,2026-09-29 18:38:18,NDM_000255,I changed my phone and need help accessing my account.,Low
TICKET_001375,2026-09-16 02:08:42,NDM_000260,I made this transaction myself but it is showing as pending.,Medium
TICKET_001456,2026-09-25 10:45:02,NDM_000263,My account is locked after several login attempts.,Low
TICKET_001775,2026-09-20 00:31:41,NDM_000266,My phone was lost and I need to secure my account.,High
TICKET_001722,2026-09-09 16:08:42,NDM_000272,There was a transaction on my account that I did not make.,Low
TICKET_001091,2026-09-14 19:07:17,NDM_000272,I changed my phone and need help accessing my account.,Low
TICKET_000098,2026-09-25 21:35:10,NDM_000272,I am travelling and cannot access my normal device.,High
TICKET_001026,2026-09-05 14:30:59,NDM_000273,My SIM card was replaced and I cannot log in.,Medium
TICKET_000474,2026-09-05 01:21:09,NDM_000286,There was a transaction on my account that I did not make.,Low
TICKET_001520,2026-09-05 16:51:27,NDM_000294,My SIM card was replaced and I cannot log in.,Medium
TICKET_001636,2026-09-14 10:43:58,NDM_000300,I am travelling and cannot access my normal device.,Low
TICKET_001042,2026-09-22 05:39:09,NDM_000300,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_001147,2026-09-03 07:41:12,NDM_000304,My SIM card was replaced and I cannot log in.,Medium
TICKET_001128,2026-09-11 14:22:26,NDM_000307,There was a transaction on my account that I did not make.,Medium
TICKET_000588,2026-09-24 16:17:40,NDM_000307,My phone was lost and I need to secure my account.,Low
TICKET_000846,2026-09-10 11:22:21,NDM_000308,I received an OTP that I did not request.,Medium
TICKET_000632,2026-09-22 04:20:02,NDM_000311,I cannot access my account and my password no longer works.,Low
TICKET_000633,2026-09-19 05:42:48,NDM_000315,My SIM card was replaced and I cannot log in.,High
TICKET_001422,2026-09-29 17:58:56,NDM_000317,I changed my phone and need help accessing my account.,Low
TICKET_001981,2026-09-28 11:07:06,NDM_000322,I received an OTP that I did not request.,Low
TICKET_001388,2026-09-24 06:04:51,NDM_000326,My SIM card was replaced and I cannot log in.,Medium
TICKET_001784,2026-09-07 14:02:26,NDM_000329,My SIM card was replaced and I cannot log in.,Low
TICKET_000457,2026-09-27 22:08:24,NDM_000329,My SIM card was replaced and I cannot log in.,Low
TICKET_000306,2026-09-03 14:02:40,NDM_000332,I noticed a transfer that I do not recognise.,Medium
TICKET_000470,2026-09-12 07:47:15,NDM_000332,My account is locked after several login attempts.,High
TICKET_000052,2026-09-28 04:56:54,NDM_000332,I received an OTP that I did not request.,Low
TICKET_000680,2026-09-29 18:04:43,NDM_000333,Please help me update my registered mobile number.,Low
TICKET_000877,2026-09-01 19:53:18,NDM_000339,I am travelling and cannot access my normal device.,Medium
TICKET_000042,2026-09-13 00:44:25,NDM_000340,My SIM card was replaced and I cannot log in.,Medium
TICKET_000110,2026-09-06 14:52:30,NDM_000346,Please help me update my registered mobile number.,Low
TICKET_001071,2026-09-06 00:57:49,NDM_000348,I noticed a transfer that I do not recognise.,Low
TICKET_001337,2026-09-19 11:07:33,NDM_000348,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001313,2026-09-04 02:16:12,NDM_000350,I made this transaction myself but it is showing as pending.,Medium
TICKET_001582,2026-09-15 21:43:26,NDM_000352,I changed my phone and need help accessing my account.,Low
TICKET_001671,2026-09-06 19:12:56,NDM_000353,I cannot access my account and my password no longer works.,Low
TICKET_000914,2026-09-16 20:21:46,NDM_000353,Please help me update my registered mobile number.,Low
TICKET_000955,2026-09-29 22:55:40,NDM_000356,I cannot access my account and my password no longer works.,Low
TICKET_001205,2026-09-25 04:47:24,NDM_000358,I noticed a transfer that I do not recognise.,Low
TICKET_001397,2026-09-04 20:33:53,NDM_000361,I received an OTP that I did not request.,Low
TICKET_001915,2026-09-15 20:20:37,NDM_000362,I changed my phone and need help accessing my account.,Medium
TICKET_000592,2026-09-26 08:47:37,NDM_000364,I noticed a transfer that I do not recognise.,Medium
TICKET_000449,2026-09-18 15:17:01,NDM_000367,I am travelling and cannot access my normal device.,Low
TICKET_000396,2026-09-30 14:03:06,NDM_000373,There was a transaction on my account that I did not make.,Low
TICKET_001164,2026-09-27 13:37:15,NDM_000375,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_001922,2026-09-28 09:52:10,NDM_000375,I made this transaction myself but it is showing as pending.,Low
TICKET_001640,2026-09-07 14:00:44,NDM_000378,Please help me update my registered mobile number.,Low
TICKET_001544,2026-09-15 11:38:12,NDM_000381,I changed my phone and need help accessing my account.,Medium
TICKET_001073,2026-09-20 01:41:41,NDM_000383,My phone was lost and I need to secure my account.,Medium
TICKET_000897,2026-09-12 06:43:37,NDM_000385,My account is locked after several login attempts.,Medium
TICKET_000627,2026-09-26 12:04:11,NDM_000387,Please help me update my registered mobile number.,Medium
TICKET_001052,2026-09-08 04:10:48,NDM_000388,My phone was lost and I need to secure my account.,Medium
TICKET_001334,2026-09-05 03:58:45,NDM_000389,My phone was lost and I need to secure my account.,Low
TICKET_001686,2026-09-18 05:41:08,NDM_000390,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001680,2026-09-26 13:47:10,NDM_000398,I received an OTP that I did not request.,Low
TICKET_000696,2026-09-23 15:06:35,NDM_000405,I changed my phone and need help accessing my account.,Medium
TICKET_000763,2026-09-19 01:28:49,NDM_000406,I changed my phone and need help accessing my account.,High
TICKET_001717,2026-09-14 07:39:03,NDM_000411,I made this transaction myself but it is showing as pending.,Low
TICKET_001279,2026-09-06 02:41:06,NDM_000412,Please help me update my registered mobile number.,Low
TICKET_000289,2026-09-09 09:09:13,NDM_000413,I noticed a transfer that I do not recognise.,Low
TICKET_000840,2026-09-02 10:53:41,NDM_000414,I noticed a transfer that I do not recognise.,Low
TICKET_000283,2026-09-21 15:10:24,NDM_000415,I cannot access my account and my password no longer works.,Low
TICKET_000434,2026-09-25 08:13:02,NDM_000415,My phone was lost and I need to secure my account.,Low
TICKET_001904,2026-09-12 10:00:32,NDM_000417,I noticed a transfer that I do not recognise.,High
TICKET_000699,2026-09-18 05:58:20,NDM_000417,I received an OTP that I did not request.,High
TICKET_001357,2026-09-27 17:36:12,NDM_000419,There was a transaction on my account that I did not make.,Low
TICKET_001008,2026-09-18 06:25:47,NDM_000425,Please help me update my registered mobile number.,Low
TICKET_000746,2026-09-03 11:54:25,NDM_000431,I cannot access my account and my password no longer works.,Low
TICKET_000722,2026-09-10 02:54:32,NDM_000437,I am travelling and cannot access my normal device.,Low
TICKET_001957,2026-09-26 01:02:27,NDM_000438,I changed my phone and need help accessing my account.,Medium
TICKET_000380,2026-09-15 12:04:31,NDM_000445,My phone was lost and I need to secure my account.,Low
TICKET_000454,2026-09-05 21:02:48,NDM_000451,I noticed a transfer that I do not recognise.,Medium
TICKET_000744,2026-09-06 07:57:27,NDM_000455,I received an OTP that I did not request.,Medium
TICKET_000678,2026-09-30 19:28:54,NDM_000455,There was a transaction on my account that I did not make.,Low
TICKET_001862,2026-09-01 00:11:53,NDM_000463,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001153,2026-09-12 00:43:43,NDM_000467,I noticed a transfer that I do not recognise.,Low
TICKET_000259,2026-09-12 15:21:32,NDM_000467,I received an OTP that I did not request.,Medium
TICKET_000857,2026-09-25 12:29:33,NDM_000468,I am travelling and cannot access my normal device.,Low
TICKET_000472,2026-09-28 14:10:43,NDM_000468,There was a transaction on my account that I did not make.,Medium
TICKET_000342,2026-09-14 10:12:42,NDM_000469,My account is locked after several login attempts.,Low
TICKET_001912,2026-09-15 23:42:43,NDM_000470,I cannot access my account and my password no longer works.,Low
TICKET_000894,2026-09-07 12:11:08,NDM_000475,Please help me update my registered mobile number.,Medium
TICKET_001437,2026-09-16 14:40:04,NDM_000479,I made this transaction myself but it is showing as pending.,Medium
TICKET_000239,2026-09-18 10:29:40,NDM_000483,I changed my phone and need help accessing my account.,Low
TICKET_000961,2026-09-16 05:06:40,NDM_000484,I am travelling and cannot access my normal device.,Medium
TICKET_000409,2026-09-05 14:58:37,NDM_000488,I made this transaction myself but it is showing as pending.,Low
TICKET_000007,2026-09-20 15:47:48,NDM_000490,My account is locked after several login attempts.,High
TICKET_001343,2026-09-06 01:40:07,NDM_000497,Please help me update my registered mobile number.,Medium
TICKET_001247,2026-09-08 00:36:15,NDM_000497,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_001478,2026-09-06 07:19:10,NDM_000510,There was a transaction on my account that I did not make.,Medium
TICKET_000685,2026-09-22 04:22:21,NDM_000510,My phone was lost and I need to secure my account.,High
TICKET_000508,2026-09-09 15:38:28,NDM_000512,There was a transaction on my account that I did not make.,Low
TICKET_001124,2026-09-25 03:31:09,NDM_000519,Please help me update my registered mobile number.,Low
TICKET_000567,2026-09-02 08:32:25,NDM_000520,I cannot access my account and my password no longer works.,Low
TICKET_001320,2026-09-09 23:26:54,NDM_000524,My phone was lost and I need to secure my account.,Low
TICKET_000941,2026-09-21 09:48:07,NDM_000524,I received an OTP that I did not request.,Low
TICKET_001556,2026-09-27 21:19:41,NDM_000524,I changed my phone and need help accessing my account.,High
TICKET_000532,2026-09-08 11:26:33,NDM_000528,I cannot access my account and my password no longer works.,Low
TICKET_001647,2026-09-13 18:11:54,NDM_000528,There is no problem with my account; I need assistance with a payment.,Low
TICKET_000902,2026-09-30 05:59:51,NDM_000528,Please help me update my registered mobile number.,Medium
TICKET_001825,2026-09-16 03:06:20,NDM_000529,Please help me update my registered mobile number.,Medium
TICKET_000801,2026-09-09 01:24:59,NDM_000530,I received an OTP that I did not request.,Medium
TICKET_000525,2026-09-01 15:21:10,NDM_000531,My SIM card was replaced and I cannot log in.,Low
TICKET_001747,2026-09-16 02:24:19,NDM_000534,I received an OTP that I did not request.,Low
TICKET_001269,2026-09-21 11:56:04,NDM_000538,There was a transaction on my account that I did not make.,Medium
TICKET_001284,2026-09-09 15:10:54,NDM_000539,I cannot access my account and my password no longer works.,Low
TICKET_001938,2026-09-29 16:30:00,NDM_000540,I cannot access my account and my password no longer works.,Medium
TICKET_001704,2026-09-18 21:16:20,NDM_000544,My account is locked after several login attempts.,Low
TICKET_001849,2026-09-11 18:15:21,NDM_000552,My SIM card was replaced and I cannot log in.,Low
TICKET_001183,2026-09-25 18:29:01,NDM_000564,I cannot access my account and my password no longer works.,Low
TICKET_001758,2026-09-19 03:05:12,NDM_000565,There was a transaction on my account that I did not make.,Low
TICKET_000062,2026-09-30 18:54:35,NDM_000565,Please help me update my registered mobile number.,Low
TICKET_000339,2026-09-19 04:16:45,NDM_000566,I changed my phone and need help accessing my account.,Low
TICKET_000725,2026-09-17 10:03:17,NDM_000568,I cannot access my account and my password no longer works.,Low
TICKET_001853,2026-09-25 23:23:38,NDM_000570,I noticed a transfer that I do not recognise.,Medium
TICKET_001302,2026-09-26 04:43:16,NDM_000577,My account is locked after several login attempts.,Medium
TICKET_000710,2026-09-20 13:15:21,NDM_000579,I am travelling and cannot access my normal device.,Low
TICKET_000008,2026-09-04 00:37:10,NDM_000586,There was a transaction on my account that I did not make.,Low
TICKET_000712,2026-09-17 05:33:13,NDM_000592,My account is locked after several login attempts.,Low
TICKET_000881,2026-09-26 06:03:30,NDM_000604,I noticed a transfer that I do not recognise.,Low
TICKET_001933,2026-09-05 17:02:57,NDM_000605,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_000509,2026-09-03 11:07:04,NDM_000607,Please help me update my registered mobile number.,Medium
TICKET_001876,2026-09-26 05:01:52,NDM_000607,My phone was lost and I need to secure my account.,Low
TICKET_001367,2026-09-13 18:29:10,NDM_000609,My SIM card was replaced and I cannot log in.,Medium
TICKET_000517,2026-09-25 08:23:21,NDM_000609,My account is locked after several login attempts.,Low
TICKET_000843,2026-09-08 17:58:47,NDM_000610,My account is locked after several login attempts.,Medium
TICKET_001608,2026-09-25 19:36:24,NDM_000611,I made this transaction myself but it is showing as pending.,Low
TICKET_001755,2026-09-28 04:46:19,NDM_000616,I received an OTP that I did not request.,Medium
TICKET_000638,2026-09-11 13:14:20,NDM_000617,There is no problem with my account; I need assistance with a payment.,Low
TICKET_000373,2026-09-18 21:57:15,NDM_000625,My account is locked after several login attempts.,Medium
TICKET_000608,2026-09-21 12:45:45,NDM_000629,There is no problem with my account; I need assistance with a payment.,Low
TICKET_001757,2026-09-20 08:58:08,NDM_000632,My account is locked after several login attempts.,High
TICKET_000951,2026-09-26 02:04:38,NDM_000634,I made this transaction myself but it is showing as pending.,Low
TICKET_000692,2026-09-01 21:12:17,NDM_000636,I cannot access my account and my password no longer works.,Low
TICKET_000164,2026-09-01 04:02:40,NDM_000648,I am travelling and cannot access my normal device.,Low
TICKET_001208,2026-09-29 20:27:23,NDM_000649,My account is locked after several login attempts.,Medium
TICKET_001854,2026-09-17 20:24:44,NDM_000650,There was a transaction on my account that I did not make.,Low
TICKET_001192,2026-09-09 13:45:09,NDM_000651,I cannot access my account and my password no longer works.,Low
TICKET_001436,2026-09-01 06:03:43,NDM_000659,My account is locked after several login attempts.,Low
TICKET_001178,2026-09-01 01:46:48,NDM_000661,I changed my phone and need help accessing my account.,Low
TICKET_001132,2026-09-14 16:07:41,NDM_000663,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_001266,2026-09-29 18:41:00,NDM_000665,My SIM card was replaced and I cannot log in.,Low
TICKET_000679,2026-09-02 12:14:51,NDM_000679,I cannot access my account and my password no longer works.,Low
TICKET_001662,2026-09-02 13:13:17,NDM_000679,Please help me update my registered mobile number.,Medium
TICKET_001941,2026-09-24 10:24:43,NDM_000686,My account is locked after several login attempts.,High
TICKET_001265,2026-09-26 20:00:51,NDM_000687,There is no problem with my account; I need assistance with a payment.,Medium
TICKET_001040,2026-09-03 05:40:43,NDM_000690,My account is locked after several login attempts.,Medium
TICKET_001318,2026-09-12 19:43:12,NDM_000690,There was a transaction on my account that I did not make.,Medium
TICKET_000353,2026-09-16 12:56:54,NDM_000691,I cannot access my account and my password no longer works.,Low
TICKET_000310,2026-09-24 02:33:37,NDM_000693,There was a transaction on my account that I did not make.,Low
TICKET_000343,2026-09-24 16:26:12,NDM_000693,My account is locked after several login attempts.,Medium
TICKET_000711,2026-09-06 06:53:06,NDM_000696,My phone was lost and I need to secure my account.,Low
TICKET_001118,2026-09-06 18:48:45,NDM_000696,My SIM card was replaced and I cannot log in.,Low
TICKET_000555,2026-09-07 22:34:25,NDM_000696,My SIM card was replaced and I cannot log in.,Low
TICKET_001546,2026-09-17 05:04:09,NDM_000696,I changed my phone and need help accessing my account.,Medium
TICKET_001652,2026-09-09 23:22:11,NDM_000701,Please help me update my registered mobile number.,Medium
TICKET_000642,2026-09-05 19:50:20,NDM_000702,Please help me update my registered mobile number.,Medium
TICKET_001577,2026-09-26 04:49:18,NDM_000707,There was a transaction on my account that I did not make.,High
TICKET_001283,2026-09-11 18:23:11,NDM_000712,I received an OTP that I did not request.,Low
TICKET_001094,2026-09-18 22:21:57,NDM_000716,Please help me update my registered mobile number.,Medium
TICKET_001163,2026-09-15 02:34:29,NDM_000717,I changed my phone and need help accessing my account.,Low
TICKET_000094,2026-09-18 05:12:27,NDM_000731,I received an OTP that I did not request.,Low
TICKET_000747,2026-09-24 05:32:47,NDM_000733,I am travelling and cannot access my normal device.,Low
TICKET_001102,2026-09-24 09:17:25,NDM_000734,My SIM card was replaced and I cannot log in.,Medium
TICKET_001805,2026-09-04 08:36:57,NDM_000735,My SIM card was replaced and I cannot log in.,Medium
TICKET_001879,2026-09-26 12:55:46,NDM_000740,I am travelling and cannot access my normal device.,High
TICKET_000650,2026-09-26 21:12:44,NDM_000741,Please help me update my registered mobile number.,Low
TICKET_000753,2026-09-13 06:23:28,NDM_000743,I received an OTP that I did not request.,Low
TICKET_000640,2026-09-12 11:59:52,NDM_000745,I noticed a transfer that I do not recognise.,Low
TICKET_000859,2026-09-01 12:01:08,NDM_000746,I am travelling and cannot access my normal device.,Medium
TICKET_000515,2026-09-03 13:53:19,NDM_000746,I am travelling and cannot access my normal device.,Low
TICKET_001226,2026-09-16 22:56:42,NDM_000746,My phone was lost and I need to secure my account.,Low
TICKET_000924,2026-09-18 13:46:46,NDM_000749,I cannot access my account and my password no longer works.,Medium
TICKET_001323,2026-09-22 11:38:18,NDM_000753,Please help me update my registered mobile number.,Low
TICKET_001989,2026-09-25 10:11:38,NDM_000758,I cannot access my account and my password no longer works.,Medium
TICKET_001151,2026-09-10 01:21:36,NDM_000759,My phone was lost and I need to secure my account.,High
TICKET_000980,2026-09-29 04:22:08,NDM_000759,My SIM card was replaced and I cannot log in.,Low
TICKET_000813,2026-09-24 01:48:33,NDM_000763,Please help me update my registered mobile number.,Low
TICKET_000335,2026-09-20 06:21:47,NDM_000765,I cannot access my account and my password no longer works.,Low
TICKET_001199,2026-09-06 01:10:12,NDM_000775,I received an OTP that I did not request.,Low
TICKET_000165,2026-09-25 23:37:03,NDM_000777,I received an OTP that I did not request.,Low
TICKET_000034,2026-09-04 19:10:41,NDM_000783,My phone was lost and I need to secure my account.,Low
TICKET_001149,2026-09-22 00:44:45,NDM_000785,I cannot access my account and my password no longer works.,Medium
TICKET_001294,2026-09-30 05:48:07,NDM_000788,I cannot access my account and my password no longer works.,Low
TICKET_000597,2026-09-07 21:25:34,NDM_000793,My phone was lost and I need to secure my account.,Low
TICKET_000923,2026-09-09 08:19:58,NDM_000799,I changed my phone and need help accessing my account.,Low
TICKET_000233,2026-09-04 18:06:47,NDM_000806,My phone was lost and I need to secure my account.,Low
TICKET_001858,2026-09-05 18:42:08,NDM_000806,I made this transaction myself but it is showing as pending.,Medium
TICKET_000463,2026-09-04 00:53:42,NDM_000811,My phone was lost and I need to secure my account.,Low
