account_id,home_city,account_age_days,customer_segment,preferred_channel,device_platform,typical_transaction_amount,typical_daily_transactions,baseline_risk_tier,primary_device_id,primary_sim_hash
NDM_000074,Windhoek,518,Standard,USSD,Android,1415.76,8,Low,DEV_0000074,a1e0f5b08c4ede24
NDM_000075,Rundu,1181,Standard,USSD,Android,837.76,4,Low,DEV_0000075,d7f46231572d534a
NDM_000076,Keetmanshoop,1378,Standard,USSD,Android,591.35,5,Low,DEV_0000076,541de9f8114cfc84
NDM_000077,Swakopmund,1286,Standard,USSD,iOS,267.9,5,High,DEV_0000077,d72f88c3ce82c230
NDM_000078,Keetmanshoop,129,Standard,USSD,iOS,610.87,3,Low,DEV_0000078,ec0e05e077190fd3
NDM_000079,Rundu,354,Standard,Web,Android,910.98,7,Low,DEV_0000079,228c3e94e10ca0e4
NDM_000080,Walvis Bay,1864,Premium,USSD,Android,1457.82,8,Low,DEV_0000080,74b4db12b6feba97
NDM_000081,Keetmanshoop,2635,Standard,Web,Android,2011.28,5,Medium,DEV_0000081,ee5b9e8df03a11ca
NDM_000082,Swakopmund,84,Premium,USSD,Android,1454.02,1,Low,DEV_0000082,fe3c4d2f450329ac
NDM_000083,Keetmanshoop,2642,Standard,Web,Android,376.73,1,Medium,DEV_0000083,b2496d3817918236
NDM_000084,Windhoek,1893,Standard,Web,Android,1676.62,3,Low,DEV_0000084,e463401e18d25803
NDM_000085,Windhoek,1125,Standard,USSD,Android,802.05,4,Low,DEV_0000085,3c1504237f121996
NDM_000086,Windhoek,1131,Business,Mobile_App,Android,681.3,5,Low,DEV_0000086,7c8981c996ee04f1
NDM_000087,Windhoek,2575,Standard,Mobile_App,Android,392.26,3,Low,DEV_0000087,909ec122eaf872f8
NDM_000088,Windhoek,1126,Standard,USSD,iOS,1559.67,4,Medium,DEV_0000088,376e84a68a321e46
NDM_000089,Rundu,3095,Standard,USSD,Android,920.77,4,Low,DEV_0000089,5af3c5af7a270894
NDM_000090,Windhoek,3158,Standard,Web,Android,224.93,2,Low,DEV_0000090,26301abe8368a7b7
NDM_000091,Windhoek,1355,Premium,USSD,Android,138.02,1,Low,DEV_0000091,413ce2a02d9ed55e
NDM_000092,Walvis Bay,1487,Business,USSD,Android,1246.23,4,Low,DEV_0000092,34a8426610f792a9
NDM_000093,Windhoek,310,Standard,USSD,Android,73.22,3,Low,DEV_0000093,5de82ba4a5b69795
NDM_000094,Swakopmund,404,Standard,Web,Android,650.84,5,Low,DEV_0000094,adf0637e4b06b3e5
NDM_000095,Walvis Bay,2657,Standard,USSD,Android,300.48,4,Low,DEV_0000095,27261e4ab2ffaffa
NDM_000096,Keetmanshoop,2401,Premium,USSD,Android,1281.07,7,Low,DEV_0000096,8a1c0d2547d20916
NDM_000097,Keetmanshoop,2244,Standard,USSD,Android,2366.27,7,Medium,DEV_0000097,7d5f2ec7026af824
NDM_000098,Rundu,3177,Business,USSD,Android,113.57,3,Low,DEV_0000098,1471e1fe311fb98c
NDM_000099,Windhoek,2906,Business,USSD,iOS,375.77,3,Low,DEV_0000099,0968283a60351228
NDM_000100,Windhoek,3577,Standard,USSD,Android,282.75,6,Low,DEV_0000100,c01828342610cec5
NDM_000101,Rundu,272,Standard,USSD,Android,921.38,4,Low,DEV_0000101,a20ee671af653e15
NDM_000102,Windhoek,1672,Business,USSD,Android,906.22,6,Low,DEV_0000102,beed963253cdc984
NDM_000103,Windhoek,1001,Premium,Web,Android,984.88,2,Low,DEV_0000103,f00c8c5963007104
NDM_000104,Keetmanshoop,1380,Standard,Web,Android,871.31,4,Low,DEV_0000104,34e2f965241e2685
NDM_000105,Walvis Bay,649,Standard,USSD,Android,2072.69,3,Medium,DEV_0000105,300276c2a81a443a
NDM_000106,Oshakati,2735,Standard,USSD,Android,751.71,3,Low,DEV_0000106,aa7fa0f018bb7e86
NDM_000107,Windhoek,2577,Standard,USSD,Android,484.21,4,Low,DEV_0000107,7985290211b4f756
NDM_000108,Oshakati,1263,Premium,USSD,Android,609.58,3,Low,DEV_0000108,6353af9fc98a5f50
NDM_000109,Windhoek,192,Standard,Web,iOS,3500.46,4,Low,DEV_0000109,37fc02621b06447b
NDM_000110,Keetmanshoop,1333,Standard,Web,Android,88.0,5,Low,DEV_0000110,804631dc98888b85
NDM_000111,Windhoek,3630,Standard,Web,Android,820.4,4,Low,DEV_0000111,e87bbcda266c8717
NDM_000112,Walvis Bay,2698,Standard,USSD,Android,468.18,5,Low,DEV_0000112,a2953f03f062bfb1
NDM_000113,Windhoek,2402,Premium,USSD,Android,166.33,7,Low,DEV_0000113,944645fc6c9176d6
NDM_000114,Rundu,1485,Premium,Web,Android,593.14,4,Medium,DEV_0000114,378308b986e0f655
NDM_000115,Walvis Bay,437,Standard,USSD,Android,1561.86,3,Low,DEV_0000115,ce0c88308e5f6e48
NDM_000116,Swakopmund,666,Standard,USSD,Android,662.71,4,Low,DEV_0000116,b7409e1cc2008961
NDM_000117,Walvis Bay,2093,Premium,USSD,Android,589.77,3,Low,DEV_0000117,aa94628a1723647e
NDM_000118,Swakopmund,2915,Standard,Web,Android,1096.37,3,Medium,DEV_0000118,9655bb8b645275b7
NDM_000119,Walvis Bay,828,Standard,USSD,iOS,485.42,6,Low,DEV_0000119,d98f6d4f290e9156
NDM_000120,Swakopmund,1947,Standard,USSD,Android,470.37,5,Low,DEV_0000120,be31aa31bd392b5d
NDM_000121,Windhoek,2021,Standard,Web,Android,303.73,4,Low,DEV_0000121,a6acada1c40dee36
NDM_000122,Swakopmund,725,Standard,USSD,Android,303.78,5,Low,DEV_0000122,d3f08c9c2673ffa0
NDM_000123,Rundu,1358,Standard,USSD,Android,428.14,1,Low,DEV_0000123,2ae755b8f895292f
NDM_000124,Windhoek,239,Standard,Web,Android,516.97,3,Low,DEV_0000124,c471f3e26f45f47d
NDM_000125,Walvis Bay,2687,Standard,USSD,Android,384.41,5,Low,DEV_0000125,b7e4529eb3b1a870
NDM_000126,Rundu,3046,Business,USSD,iOS,509.7,3,Medium,DEV_0000126,dec942dac9a6bb93
NDM_000127,Walvis Bay,3039,Standard,USSD,iOS,461.69,2,Medium,DEV_0000127,1e1300d93b9cfaa3
NDM_000128,Windhoek,644,Standard,Web,iOS,712.18,3,Low,DEV_0000128,e990ded719c441a6
NDM_000129,Walvis Bay,2772,Standard,USSD,Android,431.46,2,Low,DEV_0000129,ec96129e90b6119f
NDM_000130,Keetmanshoop,1418,Standard,USSD,Android,471.39,7,Low,DEV_0000130,033c70f7e687c5f2
NDM_000131,Oshakati,304,Standard,USSD,Android,1880.31,3,Low,DEV_0000131,41cdc4ccb10504df
NDM_000132,Keetmanshoop,573,Premium,Web,Android,224.62,5,Low,DEV_0000132,78f7232af57c3486
NDM_000133,Walvis Bay,3567,Standard,USSD,iOS,253.07,7,Low,DEV_0000133,8e20d4796d84dda7
NDM_000134,Windhoek,1609,Standard,Mobile_App,iOS,626.58,6,Low,DEV_0000134,9dd7d48e3fe14275
NDM_000135,Rundu,1284,Standard,Web,Android,538.1,6,Medium,DEV_0000135,4452201d0f82e46d
NDM_000136,Windhoek,3419,Premium,USSD,iOS,343.27,3,Low,DEV_0000136,9aca2991786b2b32
NDM_000137,Windhoek,2887,Standard,USSD,Android,298.07,6,Low,DEV_0000137,2348893cded31482
NDM_000138,Windhoek,357,Standard,USSD,Android,899.96,5,Low,DEV_0000138,904404bf0b04ea12
NDM_000139,Rundu,1527,Premium,Web,iOS,423.18,2,Low,DEV_0000139,2f10d8cdc4e16058
NDM_000140,Walvis Bay,1570,Standard,Mobile_App,Android,1341.02,3,Low,DEV_0000140,51e83a8c2c7820bb
NDM_000141,Walvis Bay,2127,Standard,Web,Android,667.56,3,Medium,DEV_0000141,6d2bf2359b58388b
NDM_000142,Windhoek,3047,Premium,USSD,iOS,543.0,1,Low,DEV_0000142,7e3c99e3846de3f8
NDM_000143,Windhoek,879,Standard,USSD,iOS,902.08,3,Low,DEV_0000143,f337d405c86a52d0
NDM_000144,Windhoek,1220,Premium,Web,iOS,991.26,3,Low,DEV_0000144,f52a874799b64a69
NDM_000145,Windhoek,817,Standard,USSD,Android,415.54,4,Low,DEV_0000145,f6f265debaf7c476
NDM_000146,Windhoek,3229,Standard,USSD,Android,442.23,4,Low,DEV_0000146,f614cabe8b2f417d
NDM_000147,Windhoek,1214,Standard,USSD,iOS,889.13,4,Low,DEV_0000147,0ecc89bd35dad7ad
NDM_000148,Swakopmund,3471,Premium,Web,iOS,70.2,7,Low,DEV_0000148,de17e0ef01d58032
NDM_000149,Windhoek,61,Premium,USSD,Android,412.85,4,Low,DEV_0000149,3dcaa2e0f9b8ad1d
NDM_000150,Windhoek,214,Standard,Mobile_App,Android,612.84,4,Medium,DEV_0000150,b236f68d6adbfa3a
NDM_000151,Oshakati,811,Standard,Web,Android,1644.96,5,Low,DEV_0000151,1b1537433a3d3542
NDM_000152,Windhoek,2806,Premium,USSD,Android,572.54,3,Medium,DEV_0000152,9fa0fcb2fc3cb22f
NDM_000153,Rundu,3301,Standard,USSD,Android,508.93,3,Low,DEV_0000153,0af4d5a61c40dabb
NDM_000154,Swakopmund,407,Standard,USSD,Android,306.63,4,Medium,DEV_0000154,ebeb1d8c03ae194a
NDM_000155,Swakopmund,1406,Standard,Web,iOS,2820.22,4,Medium,DEV_0000155,27d560a453df0843
NDM_000156,Windhoek,345,Standard,Web,Android,926.4,4,Medium,DEV_0000156,277a49ede5148bda
NDM_000157,Swakopmund,1094,Standard,USSD,Android,461.55,6,Low,DEV_0000157,fcdb56bf77efe979
NDM_000158,Oshakati,1882,Standard,USSD,Android,328.32,7,Medium,DEV_0000158,b970646d106ff2af
NDM_000159,Windhoek,1396,Premium,Web,Android,854.61,3,Medium,DEV_0000159,31a5a45cf558c89c
NDM_000160,Swakopmund,887,Standard,Web,iOS,1437.03,5,Low,DEV_0000160,1c6426431219262d
NDM_000161,Oshakati,2349,Standard,USSD,Android,697.33,3,Low,DEV_0000161,8b327c1585e29593
NDM_000162,Keetmanshoop,3396,Business,Web,Android,585.59,4,Medium,DEV_0000162,03cf161ecb5b394e
NDM_000163,Walvis Bay,1989,Standard,Mobile_App,Android,488.45,1,Low,DEV_0000163,fbe4ec5d04a81a7b
NDM_000164,Windhoek,3591,Premium,USSD,Android,410.46,2,Low,DEV_0000164,14564e1d0899a9cc
NDM_000165,Walvis Bay,841,Standard,USSD,iOS,524.22,4,Low,DEV_0000165,06eb56b1c3e7e966
NDM_000166,Walvis Bay,1009,Standard,USSD,Android,844.67,2,Low,DEV_0000166,e4ca6fd5fdd5b1a3
NDM_000167,Rundu,2811,Standard,USSD,Android,665.15,2,Low,DEV_0000167,58661a88173f2f3f
NDM_000168,Windhoek,3605,Business,USSD,iOS,1550.09,4,Low,DEV_0000168,58d7b7e72d209ca0
NDM_000169,Walvis Bay,2863,Standard,USSD,Android,832.99,4,Medium,DEV_0000169,004a964492c987ca
NDM_000170,Windhoek,1270,Standard,USSD,Android,445.1,5,High,DEV_0000170,d368be63ed9913bc
NDM_000171,Walvis Bay,1020,Standard,USSD,iOS,154.84,5,Low,DEV_0000171,c4fce3f5193ff5b9
NDM_000172,Windhoek,1701,Standard,USSD,Android,311.92,5,Medium,DEV_0000172,b9202d69c1bd590d
NDM_000173,Rundu,1606,Standard,Mobile_App,Android,574.07,2,Low,DEV_0000173,db2e47c1dee256d1
NDM_000174,Walvis Bay,1080,Premium,USSD,iOS,308.93,4,Low,DEV_0000174,e97a01186d842ac2
NDM_000175,Windhoek,2031,Standard,USSD,Android,597.86,4,Low,DEV_0000175,46fd591f9f1b1416
NDM_000176,Oshakati,1129,Standard,Web,iOS,379.63,4,Medium,DEV_0000176,72cb4e15fcd1b0d6
NDM_000177,Walvis Bay,1695,Business,USSD,iOS,657.26,4,Low,DEV_0000177,a2565ac1746384a0
NDM_000178,Oshakati,3088,Standard,Web,iOS,1083.29,3,Low,DEV_0000178,830cd9d38e006cb6
NDM_000179,Windhoek,1921,Standard,USSD,Android,238.87,2,Low,DEV_0000179,a8494cdb5e0b8cb9
NDM_000180,Walvis Bay,147,Standard,USSD,Android,626.63,3,Low,DEV_0000180,0afe50486cf3f7d6
NDM_000181,Windhoek,96,Business,USSD,Android,759.91,5,Low,DEV_0000181,b0fe6f5dd87b4e9f
NDM_000182,Windhoek,2414,Standard,USSD,iOS,156.82,4,Low,DEV_0000182,5c98a6e11041047f
NDM_000183,Walvis Bay,214,Standard,Web,iOS,476.27,3,Medium,DEV_0000183,3b257b41761ee37c
NDM_000184,Windhoek,2219,Standard,USSD,Android,300.22,4,Low,DEV_0000184,eca5201f4cff0ffe
NDM_000185,Oshakati,1204,Standard,USSD,Android,790.13,3,Low,DEV_0000185,1a2b7399f0133628
NDM_000186,Swakopmund,1614,Standard,Web,Android,559.17,4,Low,DEV_0000186,79be650e28bad245
NDM_000187,Windhoek,1941,Standard,USSD,Android,208.99,2,Medium,DEV_0000187,66908de54331e2bc
NDM_000188,Windhoek,1629,Standard,USSD,Android,490.6,4,Low,DEV_0000188,b174b83814761a2b
NDM_000189,Windhoek,1032,Standard,Mobile_App,Android,327.31,3,Medium,DEV_0000189,1db7889cb148c8f3
NDM_000190,Windhoek,3206,Premium,USSD,Android,740.15,5,Low,DEV_0000190,94d6bbe8771548da
NDM_000191,Walvis Bay,3155,Standard,USSD,iOS,146.02,1,Low,DEV_0000191,8978899d3c0011cf
NDM_000192,Swakopmund,229,Standard,Web,iOS,1394.1,2,Low,DEV_0000192,089ae473cd45d768
NDM_000193,Rundu,2642,Standard,USSD,Android,88.55,6,Low,DEV_0000193,37c934248d1b938f
NDM_000194,Windhoek,579,Standard,USSD,Android,700.94,4,Low,DEV_0000194,c312610be6c0f66c
NDM_000195,Keetmanshoop,1209,Standard,USSD,Android,252.98,5,Low,DEV_0000195,ad743e9ce7bcb83b
NDM_000196,Windhoek,445,Standard,Web,Android,397.82,2,Low,DEV_0000196,8a53ef2c40d7f04a
NDM_000197,Keetmanshoop,1927,Standard,Web,Android,261.53,5,Medium,DEV_0000197,10c1578bd53ea0d9
NDM_000198,Walvis Bay,3170,Business,USSD,iOS,340.91,5,Medium,DEV_0000198,62f7179139da094a
NDM_000199,Walvis Bay,1749,Premium,USSD,Android,1189.32,3,High,DEV_0000199,0c1e981b4af72dd3
NDM_000200,Windhoek,274,Standard,USSD,Android,855.81,5,Low,DEV_0000200,8d3de8486c762757
NDM_000201,Oshakati,1512,Standard,USSD,Android,171.53,2,Low,DEV_0000201,19dfe1a486254114
NDM_000202,Walvis Bay,181,Standard,USSD,Android,361.38,4,Low,DEV_0000202,0bd252a72cd0ab38
NDM_000203,Swakopmund,981,Standard,USSD,iOS,487.18,5,Low,DEV_0000203,c0afc2279fc46a93
NDM_000204,Windhoek,2806,Standard,Web,Android,201.9,4,Medium,DEV_0000204,9554ccfa16fa434d
NDM_000205,Windhoek,1749,Premium,USSD,Android,427.63,5,Low,DEV_0000205,6afff6e377435ee3
NDM_000206,Swakopmund,2446,Standard,USSD,Android,1556.0,3,Medium,DEV_0000206,149b18ceec2676f9
NDM_000207,Windhoek,3324,Premium,USSD,Android,185.21,4,Low,DEV_0000207,6554355c08b15440
NDM_000208,Windhoek,1693,Standard,Mobile_App,iOS,517.51,3,Low,DEV_0000208,301f2a84e9c26b7f
NDM_000209,Swakopmund,1202,Standard,USSD,Android,346.15,4,Low,DEV_0000209,beaea13d2d38b687
NDM_000210,Oshakati,383,Standard,Web,Android,944.26,4,Low,DEV_0000210,e54ef1c4cba51853
NDM_000211,Windhoek,640,Business,USSD,iOS,269.33,2,Medium,DEV_0000211,cde94aa0daa47093
NDM_000212,Windhoek,2643,Standard,USSD,iOS,740.49,7,Low,DEV_0000212,3862b9230de8ed76
NDM_000213,Windhoek,3245,Standard,USSD,iOS,247.75,3,Medium,DEV_0000213,b0f4292407cd9113
NDM_000214,Windhoek,725,Standard,USSD,Android,499.24,4,Medium,DEV_0000214,ab75397ca9c4be9e
NDM_000215,Windhoek,2379,Premium,Mobile_App,Android,474.43,3,Low,DEV_0000215,c4f9265ab122fd9d
NDM_000216,Windhoek,3553,Standard,USSD,Android,404.81,2,Low,DEV_0000216,a702a6a6478fa8ef
NDM_000217,Rundu,2033,Standard,USSD,iOS,1002.04,5,Low,DEV_0000217,17ba353bb5cbc629
NDM_000218,Windhoek,1942,Standard,Mobile_App,Android,1292.43,5,Low,DEV_0000218,636aa08fdda9b34a
NDM_000219,Swakopmund,2135,Standard,USSD,Android,635.4,4,Low,DEV_0000219,a0aa960c20ff999d
NDM_000220,Windhoek,3394,Standard,USSD,Android,448.8,5,Low,DEV_0000220,15692c719d657ff4
NDM_000221,Swakopmund,2522,Standard,USSD,Android,175.5,6,Low,DEV_0000221,1c2ae1b8ab25dfe7
NDM_000222,Rundu,1035,Standard,USSD,Android,1204.66,3,Low,DEV_0000222,c6588a6d040b5419
NDM_000223,Oshakati,1562,Standard,USSD,iOS,154.69,6,Low,DEV_0000223,e276bdcf71706166
NDM_000224,Rundu,2089,Standard,USSD,iOS,292.87,5,Medium,DEV_0000224,172e5f7cfee8c6af
NDM_000225,Windhoek,653,Standard,Web,Android,635.19,2,Low,DEV_0000225,fa7aec5bc5c3c945
NDM_000226,Rundu,758,Premium,USSD,Android,173.09,1,Medium,DEV_0000226,fd4bd6bb606dd3bb
NDM_000227,Oshakati,2418,Standard,Mobile_App,Android,2038.6,2,Low,DEV_0000227,1668387ceb3285f1
NDM_000228,Rundu,2796,Standard,USSD,Android,221.21,4,Low,DEV_0000228,0bd973eca6b5dd25
NDM_000229,Keetmanshoop,1860,Standard,USSD,iOS,2194.54,6,Low,DEV_0000229,eb60e502fccac8ee
NDM_000230,Oshakati,1762,Standard,Mobile_App,iOS,498.6,4,Low,DEV_0000230,c747d3a48aaaad38
NDM_000231,Windhoek,549,Standard,USSD,Android,90.29,6,Low,DEV_0000231,4714d140e8846060
NDM_000232,Keetmanshoop,2622,Standard,USSD,iOS,399.12,9,Low,DEV_0000232,093f0b5eb181f6aa
NDM_000233,Windhoek,2868,Standard,USSD,Android,289.35,3,Low,DEV_0000233,eb00df54fb0e5be6
NDM_000234,Oshakati,965,Standard,Web,iOS,1943.44,3,Medium,DEV_0000234,b42a0d653a8dda16
NDM_000235,Windhoek,1163,Premium,USSD,Android,441.76,4,Medium,DEV_0000235,025013a04d49f874
NDM_000236,Walvis Bay,2703,Standard,Web,iOS,694.76,3,Low,DEV_0000236,91ea56668dbbb2bb
NDM_000237,Swakopmund,2090,Standard,USSD,iOS,433.32,3,Low,DEV_0000237,0b35e8bfbf774161
NDM_000238,Keetmanshoop,2590,Standard,USSD,Android,136.76,5,Low,DEV_0000238,da901f630d4163bb
NDM_000239,Swakopmund,1977,Business,USSD,Android,361.51,7,Medium,DEV_0000239,cec056f6a41bc658
NDM_000240,Keetmanshoop,950,Premium,Web,Android,259.99,2,Low,DEV_0000240,777095c8cd02ce35
NDM_000241,Windhoek,3554,Standard,USSD,Android,405.01,5,Low,DEV_0000241,5e1316f54a584a03
NDM_000242,Windhoek,769,Standard,USSD,iOS,521.14,9,Low,DEV_0000242,223d1f366284a222
NDM_000243,Swakopmund,1698,Standard,Web,iOS,694.8,3,High,DEV_0000243,e8dfddd9eb328c5c
NDM_000244,Oshakati,170,Standard,USSD,Android,176.95,6,Low,DEV_0000244,535ce1207eca4069
