event_id,account_id,timestamp,device_id,login_result,mfa_flag,failure_reason,latitude,longitude,is_account_takeover
AUTH000051,ACC100788,2026-06-29 09:13:00,DEV00472,failed,1,none,-22.5515,17.1235,0
AUTH000052,ACC100354,2026-07-28 16:15:00,DEV01251,success,1,none,-17.8008,15.6591,0
AUTH000053,ACC100037,2026-07-09 18:17:00,DEV02813,success,1,none,-22.9083,14.5567,0
AUTH000054,ACC100623,2026-07-07 18:52:00,DEV04516,success,1,bad_password,-22.9595,14.5509,0
AUTH000055,ACC100022,2026-06-11 16:04:00,DEV01373,success,1,bad_password,-17.8272,15.5872,0
AUTH000056,ACC100083,2026-07-24 00:12:00,DEV03461,success,0,bad_password,-23.0201,14.5064,0
AUTH000057,ACC100182,2026-06-28 16:52:00,DEV01278,success,0,none,-17.9475,19.7036,0
AUTH000058,ACC100684,2026-06-11 19:05:00,DEV01337,success,1,bad_password,-22.483,17.0851,0
AUTH000059,ACC100058,2026-06-03 05:03:00,DEV03521,success,1,none,-26.5942,18.0447,0
AUTH000060,ACC100561,2026-06-29 15:24:00,DEV03564,failed,0,none,-22.9851,14.4414,0
AUTH000061,ACC100093,2026-07-13 21:37:00,DEV01964,success,0,bad_password,-22.9345,14.5181,0
AUTH000062,ACC100472,2026-06-03 16:55:00,DEV01528,success,1,bad_password,-22.9236,14.5248,0
AUTH000063,ACC100228,2026-06-04 08:12:00,DEV04207,success,1,bad_password,-26.5272,18.1046,0
AUTH000064,ACC100123,2026-06-19 17:02:00,DEV03964,success,1,none,-17.9821,19.7589,0
AUTH000065,ACC100002,2026-06-14 04:58:00,DEV04726,success,0,none,-17.86,15.726,0
AUTH000066,ACC100202,2026-07-01 06:16:00,DEV02603,success,1,none,-22.8834,14.4053,0
AUTH000067,ACC100740,2026-06-08 01:21:00,DEV03149,success,1,none,-22.589,17.0534,0
AUTH000068,ACC100152,2026-07-04 07:39:00,DEV00283,success,1,bad_password,-22.6661,14.5838,0
AUTH000069,ACC100013,2026-06-03 03:32:00,DEV02086,success,1,none,-22.5507,16.9805,0
AUTH000070,ACC100634,2026-06-23 07:27:00,DEV02218,failed,1,none,-17.7622,15.7542,0
AUTH000071,ACC100547,2026-06-24 08:51:00,DEV03576,success,1,none,-26.5586,18.1648,0
AUTH000072,ACC100784,2026-07-08 23:04:00,DEV00729,success,1,none,-17.7222,15.6683,0
AUTH000073,ACC100734,2026-06-17 01:17:00,DEV03501,success,1,none,-26.584,18.0842,0
AUTH000074,ACC100138,2026-07-04 12:10:00,DEV02487,success,1,none,-22.9388,14.624,0
AUTH000075,ACC100411,2026-06-08 02:20:00,DEV03259,success,1,none,-17.7478,15.6869,0
AUTH000076,ACC100484,2026-07-12 12:38:00,DEV03230,success,1,none,-22.69,17.131,0
AUTH000077,ACC100338,2026-07-12 05:33:00,DEV02918,success,1,bad_password,-23.0287,14.5232,0
AUTH000078,ACC100788,2026-07-26 10:54:00,DEV00472,success,0,bad_password,-22.5797,17.0878,0
AUTH000079,ACC100396,2026-06-12 23:37:00,DEV04430,success,1,none,-17.8427,15.6282,0
AUTH000080,ACC100418,2026-06-06 07:28:00,DEV02137,success,1,none,-26.6088,18.1362,0
AUTH000081,ACC100085,2026-07-07 23:05:00,DEV04863,success,1,bad_password,-17.8569,15.6388,0
AUTH000082,ACC100305,2026-06-03 04:17:00,DEV01402,success,1,bad_password,-22.6466,14.5893,0
AUTH000083,ACC100027,2026-06-30 03:22:00,DEV02062,success,1,none,-17.9496,19.6858,0
AUTH000084,ACC100607,2026-06-28 23:12:00,DEV00914,success,1,none,-17.9334,19.7899,0
AUTH000085,ACC100307,2026-07-19 17:18:00,DEV01813,success,1,bad_password,-22.6659,14.5368,0
AUTH000086,ACC100756,2026-06-25 10:17:00,DEV01406,success,1,none,-17.934,19.7632,0
AUTH000087,ACC100782,2026-07-19 00:12:00,DEV03935,success,0,bad_password,-26.5731,18.1118,0
AUTH000088,ACC100555,2026-06-11 10:40:00,DEV01198,success,1,bad_password,-26.6017,18.0873,0
AUTH000089,ACC100791,2026-07-19 00:57:00,DEV01276,success,0,none,-22.5329,17.1881,0
AUTH000090,ACC100332,2026-07-10 13:18:00,DEV01211,success,0,bad_password,-22.9909,14.5032,0
AUTH000091,ACC100232,2026-07-16 13:09:00,DEV01990,success,0,none,-22.5455,17.2025,0
AUTH000092,ACC100553,2026-06-01 21:14:00,DEV02656,success,0,bad_password,-17.8834,19.7422,0
AUTH000093,ACC100141,2026-07-23 04:07:00,DEV02411,success,1,none,-26.6073,18.1318,0
AUTH000094,ACC100745,2026-07-02 21:15:00,DEV04074,success,1,none,-17.7179,15.6707,0
AUTH000095,ACC100722,2026-06-10 19:13:00,DEV04154,success,1,none,-22.7124,14.5517,0
AUTH000096,ACC100716,2026-06-23 14:44:00,DEV00186,success,1,none,-26.6054,18.0885,0
AUTH000097,ACC100681,2026-06-28 04:42:00,DEV04814,success,1,none,-17.8989,19.7728,0
AUTH000098,ACC100735,2026-07-01 04:53:00,DEV02901,success,0,none,-17.9327,19.7727,0
AUTH000099,ACC100317,2026-06-16 19:52:00,DEV01900,success,1,none,-17.8721,15.7491,0
AUTH000100,ACC100770,2026-07-27 20:51:00,DEV03797,success,1,none,-17.9492,19.7897,0
AUTH000101,ACC100628,2026-06-27 07:43:00,DEV03324,success,0,none,-22.9466,14.576,0
AUTH000102,ACC100738,2026-07-15 15:20:00,DEV03005,success,1,none,-22.5544,17.061,0
AUTH000103,ACC100380,2026-07-17 07:13:00,DEV00238,success,1,none,-22.988,14.5431,0
AUTH000104,ACC100257,2026-07-09 21:45:00,DEV03940,success,1,none,-26.682,18.1248,0
AUTH000105,ACC100720,2026-07-23 07:05:00,DEV03719,success,0,none,-22.5274,17.1254,0
AUTH000106,ACC100700,2026-06-26 14:26:00,DEV01078,success,1,none,-18.0301,19.7211,0
AUTH000107,ACC100521,2026-06-20 08:17:00,DEV00644,success,1,none,-22.5786,17.1096,0
AUTH000108,ACC100709,2026-07-02 01:30:00,DEV01710,success,0,bad_password,-22.9064,14.524,0
AUTH000109,ACC100783,2026-06-15 13:55:00,DEV01816,success,1,none,-22.7274,14.6126,0
AUTH000110,ACC100391,2026-07-08 17:00:00,DEV04358,success,1,none,-17.9848,19.8272,0
AUTH000111,ACC100586,2026-07-08 02:00:00,DEV00886,success,0,bad_password,-17.7633,15.6556,0
AUTH000112,ACC100339,2026-07-05 05:46:00,DEV04355,success,1,none,-17.9829,19.7333,0
AUTH000113,ACC100046,2026-06-10 23:41:00,DEV01555,success,1,none,-17.8314,15.7145,0
AUTH000114,ACC100272,2026-06-18 18:12:00,DEV03902,success,1,none,-17.7972,15.7241,0
AUTH000115,ACC100263,2026-07-03 21:44:00,DEV01882,success,1,none,-26.6652,18.0997,0
AUTH000116,ACC100351,2026-06-15 13:18:00,DEV01276,success,1,bad_password,-17.8958,19.7554,0
AUTH000117,ACC100130,2026-06-21 02:05:00,DEV02864,success,1,none,-22.6241,14.4906,0
AUTH000118,ACC100338,2026-06-24 10:32:00,DEV02918,success,1,bad_password,-23.0375,14.4241,0
AUTH000119,ACC100266,2026-07-16 01:53:00,DEV02370,success,1,bad_password,-22.5092,17.0618,0
AUTH000120,ACC100629,2026-06-11 20:12:00,DEV02518,success,1,none,-22.5284,17.1011,0
AUTH000121,ACC100142,2026-07-10 10:02:00,DEV00332,success,1,none,-22.8964,14.6252,0
AUTH000122,ACC100200,2026-07-19 04:43:00,DEV04136,success,1,none,-17.7046,15.6712,0
AUTH000123,ACC100373,2026-06-02 00:53:00,DEV00424,success,1,none,-22.7207,14.5286,0
AUTH000124,ACC100463,2026-06-09 04:52:00,DEV02075,success,1,none,-17.7555,15.6931,0
AUTH000125,ACC100615,2026-06-12 10:01:00,DEV00285,success,1,none,-22.5856,17.0536,0
AUTH000126,ACC100657,2026-06-28 20:40:00,DEV00302,success,0,none,-22.5046,17.1217,0
AUTH000127,ACC100481,2026-07-04 23:04:00,DEV03424,success,0,none,-17.7213,15.6318,0
AUTH000128,ACC100169,2026-06-08 16:48:00,DEV00271,success,1,none,-22.9347,14.4486,0
AUTH000129,ACC100306,2026-06-29 19:35:00,DEV04462,failed,1,bad_password,-26.5486,18.1329,0
AUTH000130,ACC100496,2026-06-13 13:49:00,DEV01087,success,1,bad_password,-26.6036,18.1793,0
AUTH000131,ACC100043,2026-06-18 06:18:00,DEV03863,success,1,bad_password,-26.544,18.1125,0
AUTH000132,ACC100260,2026-06-11 00:10:00,DEV02234,success,1,none,-23.0889,14.5421,0
AUTH000133,ACC100195,2026-07-13 20:23:00,DEV00030,success,1,none,-17.9207,19.7521,0
AUTH000134,ACC100002,2026-07-29 08:37:00,DEV04726,success,1,none,-17.8047,15.718,0
AUTH000135,ACC100522,2026-06-29 16:05:00,DEV04030,success,1,none,-22.5931,17.0727,0
AUTH000136,ACC100077,2026-07-19 18:21:00,DEV00449,success,1,none,-17.9101,19.6872,0
AUTH000137,ACC100096,2026-07-01 17:22:00,DEV04637,success,1,none,-22.9591,14.5151,0
AUTH000138,ACC100133,2026-06-05 15:10:00,DEV03761,success,1,none,-22.745,14.4913,0
AUTH000139,ACC100641,2026-06-17 22:13:00,DEV03576,success,0,none,-22.5019,17.0936,0
AUTH000140,ACC100334,2026-06-26 09:48:00,DEV02192,success,1,bad_password,-22.6851,14.581,0
AUTH000141,ACC100548,2026-07-16 13:56:00,DEV04409,success,1,none,-17.8898,19.8028,0
AUTH000142,ACC100050,2026-06-13 10:02:00,DEV04763,success,1,none,-22.9632,14.5666,0
AUTH000143,ACC100702,2026-06-02 22:08:00,DEV00724,success,1,none,-17.7185,15.6018,0
AUTH000144,ACC100788,2026-07-11 18:42:00,DEV00472,success,1,none,-22.5349,17.1251,0
AUTH000145,ACC100441,2026-06-24 16:54:00,DEV02942,success,1,none,-22.6584,14.6569,0
AUTH000146,ACC100433,2026-06-05 02:46:00,DEV02852,failed,1,bad_password,-17.7564,15.6017,0
AUTH000147,ACC100462,2026-06-22 01:25:00,DEV02542,success,1,none,-22.6427,14.487,0
AUTH000148,ACC100691,2026-06-06 16:52:00,DEV00401,success,0,none,-22.728,14.4679,0
AUTH000149,ACC100669,2026-07-10 18:28:00,DEV04260,success,0,bad_password,-17.8292,15.7097,0
AUTH000150,ACC100335,2026-07-02 11:22:00,DEV00823,success,1,none,-17.8385,15.6897,0
AUTH000151,ACC100622,2026-06-05 18:43:00,DEV01880,success,1,none,-17.7826,15.6549,0
AUTH000152,ACC100338,2026-07-25 00:38:00,DEV02918,success,1,bad_password,-22.9076,14.589,0
AUTH000153,ACC100517,2026-06-11 03:04:00,DEV03666,success,0,bad_password,-23.001,14.4781,0
AUTH000154,ACC100693,2026-06-04 18:18:00,DEV01243,success,1,none,-22.6391,14.6574,0
AUTH000155,ACC100311,2026-07-06 10:09:00,DEV02248,success,1,none,-22.5274,17.1334,0
AUTH000156,ACC100323,2026-07-20 09:38:00,DEV00465,success,1,none,-17.9705,19.8393,0
AUTH000157,ACC100547,2026-06-06 14:46:00,DEV03576,success,1,none,-26.6241,18.0911,0
AUTH000158,ACC100048,2026-07-08 09:33:00,DEV04000,success,1,bad_password,-17.82,15.6842,0
AUTH000159,ACC100524,2026-06-30 11:14:00,DEV02936,failed,1,none,-22.9139,14.4468,0
AUTH000160,ACC100414,2026-07-21 03:38:00,DEV02860,success,1,bad_password,-17.8527,19.7742,0
AUTH000161,ACC100155,2026-06-28 19:59:00,DEV00886,success,1,none,-22.6112,14.5323,0
AUTH000162,ACC100693,2026-07-11 03:25:00,DEV01243,success,1,bad_password,-22.7445,14.526,0
AUTH000163,ACC100133,2026-06-17 09:30:00,DEV03761,success,0,bad_password,-22.7188,14.5767,0
AUTH000164,ACC100193,2026-06-18 14:25:00,DEV04861,success,0,bad_password,-22.5228,17.1135,0
AUTH000165,ACC100140,2026-07-22 12:42:00,DEV00790,success,0,bad_password,-22.9052,14.5277,0
AUTH000166,ACC100258,2026-07-21 18:42:00,DEV04138,success,0,none,-26.6565,18.1403,0
AUTH000167,ACC100181,2026-06-16 04:30:00,DEV04723,success,1,bad_password,-22.9505,14.5217,0
AUTH000168,ACC100506,2026-07-06 06:22:00,DEV03449,success,1,none,-26.4964,18.1268,0
AUTH000169,ACC100337,2026-06-22 19:36:00,DEV00210,success,1,none,-26.5643,18.246,0
AUTH000170,ACC100374,2026-07-04 19:01:00,DEV01782,success,1,none,-22.5246,17.089,0
AUTH000171,ACC100675,2026-07-01 06:03:00,DEV00730,success,1,bad_password,-22.6841,14.4595,0
AUTH000172,ACC100012,2026-07-06 23:18:00,DEV02470,success,1,bad_password,-22.7152,14.534,0
AUTH000173,ACC100348,2026-06-08 03:53:00,DEV00438,success,0,bad_password,-22.8682,14.4565,0
AUTH000174,ACC100150,2026-07-06 07:17:00,DEV04901,success,1,none,-22.5816,17.0698,0
AUTH000175,ACC100690,2026-06-09 10:14:00,DEV03625,success,1,bad_password,-17.7064,15.7255,0
AUTH000176,ACC100584,2026-06-06 17:27:00,DEV01460,success,0,none,-17.9705,19.7906,0
AUTH000177,ACC100128,2026-06-19 02:37:00,DEV03663,success,0,none,-22.7639,14.4894,0
AUTH000178,ACC100150,2026-06-05 11:53:00,DEV04901,success,1,none,-22.602,16.946,0
AUTH000179,ACC100720,2026-06-01 09:22:00,DEV03719,success,0,none,-22.6053,17.0694,0
AUTH000180,ACC100037,2026-06-30 09:35:00,DEV02813,success,1,none,-22.9517,14.5387,0
AUTH000181,ACC100704,2026-06-11 06:21:00,DEV03932,success,1,bad_password,-22.614,14.5723,0
AUTH000182,ACC100714,2026-06-28 15:48:00,DEV03168,success,1,none,-23.0178,14.545,0
AUTH000183,ACC100633,2026-06-14 10:24:00,DEV03956,success,1,none,-22.8623,14.4319,0
AUTH000184,ACC100443,2026-07-28 05:01:00,DEV02858,success,1,bad_password,-17.8807,19.7771,0
AUTH000185,ACC100208,2026-06-19 11:19:00,DEV00887,success,1,none,-17.8728,19.7649,0
AUTH000186,ACC100786,2026-07-03 16:10:00,DEV00903,success,1,bad_password,-22.571,17.0715,0
AUTH000187,ACC100183,2026-06-15 04:08:00,DEV00937,success,1,bad_password,-22.5097,17.0702,0
AUTH000188,ACC100120,2026-06-24 17:18:00,DEV03766,success,1,bad_password,-22.6467,17.0545,0
AUTH000189,ACC100206,2026-06-19 23:51:00,DEV00641,success,1,none,-22.9162,14.5018,0
AUTH000190,ACC100161,2026-07-13 08:14:00,DEV03731,success,0,bad_password,-22.8847,14.5274,0
AUTH000191,ACC100116,2026-07-07 12:32:00,DEV01365,success,1,none,-22.5642,17.0755,0
AUTH000192,ACC100185,2026-06-06 08:16:00,DEV01372,success,1,bad_password,-26.5293,18.0961,0
AUTH000193,ACC100330,2026-06-01 16:04:00,DEV04042,success,1,none,-22.7431,14.5951,0
AUTH000194,ACC100282,2026-07-04 20:38:00,DEV00995,success,0,bad_password,-26.5331,18.0652,0
AUTH000195,ACC100146,2026-07-30 04:11:00,DEV00501,success,0,none,-17.9744,19.7456,0
AUTH000196,ACC100221,2026-06-09 09:46:00,DEV02567,success,1,none,-22.5865,17.143,0
AUTH000197,ACC100762,2026-06-12 12:54:00,DEV04836,success,1,bad_password,-22.5211,17.094,0
AUTH000198,ACC100324,2026-06-02 06:38:00,DEV00119,success,1,none,-26.5143,18.1432,0
AUTH000199,ACC100246,2026-06-12 15:10:00,DEV03566,success,1,bad_password,-22.6484,14.5623,0
AUTH000200,ACC100099,2026-07-18 00:50:00,DEV04619,success,0,none,-17.8015,15.5851,0
AUTH000201,ACC100503,2026-07-19 13:46:00,DEV02039,success,1,none,-26.4986,18.1299,0
AUTH000202,ACC100475,2026-07-23 21:52:00,DEV03559,failed,0,none,-22.592,14.5242,0
AUTH000203,ACC100279,2026-07-12 01:27:00,DEV02755,success,1,none,-17.809,15.7754,0
AUTH000204,ACC100303,2026-07-09 14:41:00,DEV03112,success,1,none,-22.7809,14.5095,0
AUTH000205,ACC100588,2026-07-28 10:51:00,DEV00486,success,1,none,-17.9592,19.7976,0
AUTH000206,ACC100035,2026-07-18 16:24:00,DEV04228,success,0,none,-26.617,18.0809,0
AUTH000207,ACC100573,2026-06-07 19:36:00,DEV04756,failed,0,none,-22.9383,14.4732,0
AUTH000208,ACC100114,2026-06-14 04:50:00,DEV00541,success,1,none,-22.5695,17.1053,0
AUTH000209,ACC100340,2026-07-29 23:58:00,DEV03822,success,1,bad_password,-26.4897,18.1155,0
AUTH000210,ACC100093,2026-06-10 21:16:00,DEV01964,success,1,none,-22.9316,14.5214,0
AUTH000211,ACC100707,2026-06-26 02:26:00,DEV00181,success,1,bad_password,-22.5938,17.2107,0
AUTH000212,ACC100226,2026-07-28 14:11:00,DEV01689,success,1,none,-22.9886,14.4292,0
AUTH000213,ACC100570,2026-07-13 02:57:00,DEV00452,success,1,bad_password,-26.5662,18.0587,0
AUTH000214,ACC100500,2026-07-15 07:14:00,DEV02440,success,0,none,-22.6856,14.5035,0
AUTH000215,ACC100480,2026-07-28 23:08:00,DEV02649,success,1,none,-26.5927,18.1239,0
AUTH000216,ACC100498,2026-06-08 18:27:00,DEV01461,success,0,none,-26.528,18.0901,0
AUTH000217,ACC100750,2026-06-13 11:45:00,DEV01871,success,1,none,-22.9234,14.4121,0
AUTH000218,ACC100084,2026-06-04 22:21:00,DEV01275,success,1,device_mismatch,-19.3784,14.553,1
AUTH000219,ACC100546,2026-07-18 23:58:00,DEV01328,success,1,none,-17.8088,15.643,0
AUTH000220,ACC100330,2026-07-01 00:01:00,DEV04042,success,1,none,-22.6934,14.4826,0
AUTH000221,ACC100265,2026-06-10 07:25:00,DEV02379,success,1,bad_password,-22.921,14.5145,0
AUTH000222,ACC100523,2026-06-10 15:43:00,DEV02595,success,1,none,-17.9342,19.7375,0
AUTH000223,ACC100031,2026-07-17 23:26:00,DEV04298,success,1,none,-22.702,14.4336,0
AUTH000224,ACC100544,2026-06-20 13:52:00,DEV02322,success,1,bad_password,-26.5752,18.0968,0
AUTH000225,ACC100585,2026-06-16 00:30:00,DEV02496,success,1,none,-17.8234,15.6997,0
AUTH000226,ACC100569,2026-07-02 11:57:00,DEV01496,failed,1,none,-26.6491,18.1712,0
AUTH000227,ACC100456,2026-07-18 07:17:00,DEV01529,success,0,none,-26.4798,18.0767,0
AUTH000228,ACC100471,2026-07-11 09:06:00,DEV02205,success,1,bad_password,-17.7412,15.6973,0
AUTH000229,ACC100326,2026-06-30 18:24:00,DEV00669,success,1,none,-22.9669,14.4592,0
AUTH000230,ACC100411,2026-06-01 02:18:00,DEV03259,success,1,none,-17.862,15.6968,0
AUTH000231,ACC100320,2026-07-24 23:14:00,DEV03931,success,1,none,-17.9327,19.8059,0
AUTH000232,ACC100138,2026-07-06 19:03:00,DEV02487,success,1,none,-22.9348,14.5109,0
AUTH000233,ACC100385,2026-06-29 01:00:00,DEV00834,success,1,bad_password,-17.9321,19.7701,0
AUTH000234,ACC100652,2026-06-13 06:01:00,DEV02460,success,1,none,-22.5372,17.1061,0
AUTH000235,ACC100545,2026-07-14 02:23:00,DEV02547,success,1,none,-17.7563,15.6807,0
AUTH000236,ACC100467,2026-06-14 05:55:00,DEV00047,success,0,none,-22.5512,17.0855,0
AUTH000237,ACC100108,2026-06-03 02:37:00,DEV04383,success,1,bad_password,-22.9842,14.4546,0
AUTH000238,ACC100416,2026-07-30 10:00:00,DEV04020,success,1,none,-22.987,14.4726,0
AUTH000239,ACC100436,2026-06-24 04:51:00,DEV03527,success,1,none,-22.6945,14.5175,0
AUTH000240,ACC100475,2026-06-06 03:20:00,DEV03559,success,1,bad_password,-22.696,14.6335,0
AUTH000241,ACC100160,2026-06-23 22:17:00,DEV00121,success,1,none,-22.5917,17.0716,0
AUTH000242,ACC100714,2026-06-20 10:10:00,DEV03168,success,0,bad_password,-22.9106,14.4851,0
AUTH000243,ACC100543,2026-07-28 13:39:00,DEV00883,success,1,none,-17.9738,19.7768,0
AUTH000244,ACC100512,2026-06-04 21:15:00,DEV01230,success,1,none,-22.9149,14.5176,0
AUTH000245,ACC100609,2026-06-12 02:45:00,DEV00706,failed,1,none,-22.7243,14.5261,0
AUTH000246,ACC100692,2026-06-13 11:22:00,DEV02844,success,1,bad_password,-22.7171,14.5868,0
AUTH000247,ACC100547,2026-07-05 22:54:00,DEV03576,success,1,bad_password,-26.5726,18.1956,0
AUTH000248,ACC100212,2026-06-06 20:16:00,DEV01295,success,0,none,-26.6404,18.1428,0
AUTH000249,ACC100671,2026-06-27 06:14:00,DEV01602,success,1,none,-22.5426,17.1088,0
AUTH000250,ACC100167,2026-06-21 13:27:00,DEV04456,success,1,none,-22.9083,14.4074,0
AUTH000251,ACC100034,2026-06-03 08:08:00,DEV01856,success,1,bad_password,-17.967,19.8142,0
AUTH000252,ACC100140,2026-07-14 19:03:00,DEV00790,success,1,none,-22.9727,14.5571,0
AUTH000253,ACC100537,2026-07-11 22:26:00,DEV03878,success,1,none,-22.6297,14.5734,0
AUTH000254,ACC100508,2026-06-22 03:33:00,DEV01816,failed,1,none,-17.902,15.711,0
AUTH000255,ACC100677,2026-06-18 06:28:00,DEV04913,success,1,bad_password,-22.6019,17.1711,0
AUTH000256,ACC100391,2026-07-23 13:07:00,DEV04358,success,1,none,-17.897,19.7574,0
AUTH000257,ACC100470,2026-07-14 04:36:00,DEV00794,success,1,none,-22.569,17.1601,0
AUTH000258,ACC100222,2026-06-07 14:39:00,DEV04830,success,1,none,-22.7727,14.5177,0
AUTH000259,ACC100142,2026-06-22 08:34:00,DEV00332,success,1,none,-22.9443,14.5175,0
AUTH000260,ACC100219,2026-06-06 01:53:00,DEV03185,success,1,none,-22.5627,17.0959,0
AUTH000261,ACC100732,2026-06-26 01:55:00,DEV01665,success,1,bad_password,-17.9274,19.7395,0
AUTH000262,ACC100553,2026-07-04 08:25:00,DEV02656,success,1,none,-17.8565,19.79,0
AUTH000263,ACC100318,2026-07-30 09:30:00,DEV04987,success,0,none,-17.9242,19.7882,0
AUTH000264,ACC100611,2026-06-25 04:39:00,DEV00121,success,1,none,-22.6506,14.4728,0
AUTH000265,ACC100547,2026-07-02 06:42:00,DEV03576,success,1,none,-26.5585,18.1866,0
AUTH000266,ACC100299,2026-07-29 23:53:00,DEV01028,success,1,none,-22.6784,14.5011,0
AUTH000267,ACC100111,2026-07-04 12:15:00,DEV01945,success,1,bad_password,-22.7252,14.5346,0
